Kg_C_avail_Ind;Kg_M_avail_Ind;ObsCatchNr;PropGrassland;Density_km2;Avg_exp_NovFeb;avgTemp_1M;avgWC_1M;sumRH_month_1M;PrepAnom_month_1M;sumWS_1M;avgTemp_2M;avgWC_2M;sumRH_month_2M;PrepAnom_month_2M;sumWS_2M
238,2211891;1259,491654;66900288;0,001092659;69,87198274;0,228531883;6,012903226;2,681904306;55,208;-36,56158525;1;6,949180328;3,821875493;80,255;-15,58601382;1
238,2211891;1259,491654;66900287;0,001092659;69,87198274;0,228531883;6,093548387;2,709541214;58,607;-33,81005069;1;7,042622951;3,921533478;81,2545;-14,87683641;1
238,2211891;1259,491654;66900286;0,001092659;69,87198274;0,228531883;6,093548387;2,709541214;58,607;-33,81005069;1;7,042622951;3,921533478;81,2545;-14,87683641;1
238,2211891;1259,491654;66900285;0,001092659;69,87198274;0,228531883;6,093548387;2,709541214;58,607;-33,81005069;1;7,042622951;3,921533478;81,2545;-14,87683641;1
290,4794872;1018,873364;66900284;3,67E-05;71,77879984;0,253760864;5,619354839;1,985674588;80,904;-19,93010138;1;7,850819672;4,919065835;91,953;-7,952529954;1
290,4794872;1018,873364;66900283;3,67E-05;71,77879984;0,253760864;5,941935484;2,310445485;88,904;-12,57756682;0;8,040983607;5,117745797;91,953;-8,242852535;0
290,4794872;1018,873364;66900282;3,67E-05;71,77879984;0,253760864;6,196774194;2,60926534;94,304;-7,825032258;0;8,242622951;5,340092413;91,953;-8,533175115;0
290,4794872;1018,873364;66900281;3,67E-05;71,77879984;0,253760864;6,34516129;2,739466538;96,004;-6,772497696;0;8,414754098;5,533599533;93,803;-6,973497696;0
137,0940213;521,2671568;66902236;0,000963392;89,99881484;0,257379113;5,751612903;1,709253131;126,003;34,23341475;0;7,927868852;4,502190035;98,303;2,461986175;0
168,3477075;676,5615033;4;0,087625853;123,7211696;0,245820409;2,158064516;-1,972493519;52,607;-18,55429032;7;3,516393443;-0,641154941;66,204;-6,15083871;12
32,45072751;136,4399061;392;0,087625853;224,9447887;0,263660444;1,690322581;-2,724574242;20,202;-33,1182765;12;1,975409836;-2,833494107;33,952;-26,45122581;24
245,0371021;21,30101149;7;0,042247587;28,90596815;0,241274379;2,503225806;-1,689898605;77,904;13,43856221;7;2,286885246;-2,157236839;63,904;-6,135170507;14
