Code;CatchingArea;NestID;BirdId;Sex;LD;LD_Num;ClutchSize;HatchDate;DayFound;LastActive;LastCheck;ObsDay;Fail;NestSucces;clutchNr;ClutchCertainty;Habitat;year;IC;ChickSucces;ChickSurvival;NrHatchlings;NrFledglings
BRB-C8OY;Texel;2017_T4;9229;M;17-5-2017;46;3;15-6-2017;19-5-2017;15-6-2017;15-6-2017;27;0;1;2;1;Cropfield;2017;Coastal;0;7,5;3;0
BRP-YUC7;Texel;2017_T4;9274;F;17-5-2017;46;3;15-6-2017;19-5-2017;15-6-2017;15-6-2017;27;0;1;2;1;Cropfield;2017;Coastal;0;7,5;3;0
RG-LJBE;Texel;2017_T6;3568;M;30-4-2017;29;3;29-5-2017;2-5-2017;29-5-2017;29-5-2017;27;0;1;1;1;Cropfield;2017;Coastal;0;6,5;3;0
NA;NA;2017_T7;NA;NA;2-5-2017;31;3;31-5-2017;1-6-2017;NA;NA;NA;NA;NA;1;1;Cropfield;2017;Coastal;0;NA;NA;NA
RY-BEWQ;Balgzand;2017_U1;7119;F;26-4-2017;25;2;24-5-2017;27-4-2017;24-5-2017;24-5-2017;27;0;1;1;1;Urban;2017;Mainland;1;36;2;1
LG-LJGT;Balgzand;2017_U2;7197;F;3-5-2017;32;3;1-6-2017;5-5-2017;1-6-2017;1-6-2017;27;0;1;1;1;Cropfield;2017;Mainland;0;15,5;2;0
RG-WNCP;Balgzand;2017_U3;7272;F;6-5-2017;35;3;4-6-2017;8-5-2017;4-6-2017;4-6-2017;27;0;1;1;1;Cropfield;2017;Mainland;0;0,5;3;0
LG-RAOY;Balgzand;2017_ZH1;7385;F;17-4-2017;16;4;17-5-2017;20-4-2017;17-5-2017;17-5-2017;27;0;1;1;1;Grassland;2017;Mainland;1;34;3;2
LG-LHBZ;NA;2017_ZH1;7386;M;17-4-2017;16;4;17-5-2017;20-4-2017;17-5-2017;17-5-2017;27;0;1;1;1;Grassland;2017;Mainland;1;34;3;2
RB-LEBQ;NA;2017_ZH2;9348;F;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;1;Grassland;2017;Mainland;1;35;2;1
BRB-R5YS;Vlieland;2018_DR1;NA;F;23-4-2018;22;2;21-5-2018;1-5-2018;21-5-2018;21-5-2018;20;0;1;1;2;Grassland;2018;Mainland;0;13,5;2;0
