SexN;AgeN;MS;LogitH;LogitB;TA;TH;WL;BH;HT;DS;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T33;T34;T35;T36;T37;T38;T39;T40
2;4;677;-0,093582566;-4,796877384;98;121,9000015;265;5,900000095;0,09375;111;0;0;0;0;0;5;0;5;0;5;0;0;0;0;0;0;0;0
2;4;553;-0,190753259;-5,484298885;96;117,5;265;5;0,095138889;111;0;0;0;0;0;5;0;5;0;5;0;0;0;0;0;0;0;0
2;4;639;-0,190787276;-5,333964705;96;114,0999985;260;6,300000191;0,086111111;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;567;-0,123863175;-5,318732552;93;110,5999985;263;5,599999905;0,166666667;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;548;-0,322798416;-4,953374573;93;111,5999985;254;5,599999905;0,198611111;111;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0
2;4;562;-0,202820078;-5,231108616;95;115,1999969;264;5,199999809;0,197222222;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;574;-0,144264085;-5,188291329;97;117,4000015;257;5,199999809;0,195833333;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;586;-0,277316382;-5,333040804;98;124,3000031;265;4,900000095;0,193055556;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;612;-0,221518415;-5,010786798;101;116,5;267;5,300000191;0,190277778;111;0;0;0;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0
1;4;599;-0,299537125;-5,181408949;94;126,3000031;273;3,400000095;0,188194444;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;521;-0,104682648;-5,485718592;92;121,0999985;263;4;0,186805556;111;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;4;576;-0,007419532;-5,255111581;95;112,3000031;264;5,300000191;0,185416667;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;632;-0,070255232;-5,249360521;98;129,1000061;265;4,199999809;0,179861111;111;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0
2;4;592;-0,093253309;-4,915298447;98;113,1999969;266;5,800000191;0,182638889;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;629;-0,263794973;-5,081108551;100;124,9000015;267;5,099999905;0,177777778;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;690;-0,023707384;-5,403403651;102;135,6999969;267;4,099999905;0,176388889;111;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0
1;4;538;-0,270044931;-4,987678763;97;130,8000031;266;4,800000191;0,174305556;111;0;0;0;0;0;5;0;0;0;0;0;0;6;6;6;0;3;6
2;4;611;-0,249640862;-5,157486672;98;113;273;5,699999809;0,132638889;111;0;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0
2;4;608;-0,103278349;-5,456846204;96;122,1999969;267;6,300000191;0,138194444;111;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
1;4;673;-0,194077996;-5,400873956;103;136,8000031;272;3,900000095;0,139583333;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;560;0,069533042;-4,882347274;92;113,6999969;266;5,5;0,141666667;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;614;-0,293991242;-4,978656512;96;119,9000015;269;5,599999905;0,14375;111;0;0;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0
1;4;623;-0,265803428;-5,368164041;101;134,3999939;270;4,199999809;0,145833333;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;636;-0,106093665;-5,18178355;97;122,5999985;263;3,900000095;0,148611111;111;0;0;0;0;0;5;5;0;5;0;0;0;0;0;0;0;0;0
2;4;618;-0,309404496;-5,249343362;100;116,5999985;272;5,800000191;0,152083333;111;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0
2;4;594;-0,702507623;-5,284546512;92;109,9000015;263;5,699999809;0,161111111;111;0;0;0;0;0;5;0;5;0;5;0;0;0;0;0;0;0;0
2;4;480;-0,43814515;-5,158096986;94;113,1999969;258;4,599999905;0,163888889;111;0;0;0;0;0;5;0;0;5;10;0;0;0;0;0;0;0;0
2;4;570;-0,144762757;-5,067960361;98;113;268;5,300000191;0,2;111;0;0;0;0;0;5;0;0;0;0;0;9;0;0;0;0;0;0
2;4;564;-0,431968426;-4,764130708;95;117,6999969;257;4,900000095;0,147222222;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;526;-0,26845782;-4,84915624;93;115,5;268;3,200000048;0,119444444;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
1;4;558;-0,109888491;-5,216142758;97;126,4000015;270;4,099999905;0,2875;117;4;0;4;0;4;4;4;0;4;0;4;0;0;0;0;0;0;0
2;4;594;-0,118385083;-5,338339042;104;128,6999969;269;3,5;0,304861111;117;4;0;4;0;4;4;4;0;4;0;4;0;4;0;4;0;0;0
2;4;597;0,019796596;-4,932482053;99;117,0999985;267;5,599999905;0,144444444;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;1;513;-0,551011433;-5,497680389;102;119;261;5,900000095;0,117361111;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;500;-0,245940223;-5,365372879;93;117,3000031;250;6;0,28125;117;0;0;0;0;4;4;4;0;4;0;0;0;0;0;0;0;0;0
1;4;558;-0,071043423;-4,91770746;99;129,8999939;267;3,5;0,121527778;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
1;4;609;0,036728993;-5,269978408;100;131;266;3,799999952;0,127777778;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;610;-0,158941108;-5,143610977;96;124,5;268;3,900000095;0,129166667;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
1;4;549;-0,250774909;-5,04924532;96;126,8000031;260;4,599999905;0,130555556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;548;-0,279038976;-4,756210443;98;121,6999969;268;5,099999905;0,131944444;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;596;0,020190531;-5,239779851;94;114,1999969;263;6;0,115277778;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0
2;4;522;-0,233628928;-5,140313118;91;112,8000031;258;4,699999809;0,172222222;117;4;0;4;0;4;4;4;0;4;0;0;0;0;0;0;0;0;0
1;4;554;-0,311658096;-4,959952035;98;120;256;4,099999905;0,259722222;117;4;0;4;0;4;4;4;0;4;0;0;0;0;0;0;0;0;0
2;4;611;-0,131589375;-5,317079643;98;117,1999969;270;5,199999809;0,145833333;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;568;-0,286510637;-5,214625151;99;134,8999939;264;4,5;0,186805556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;488;-0,156209617;-4,916010594;95;112,9000015;257;4,599999905;0,154166667;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;525;-0,194279069;-5,195493314;99;118,5;264;4;0,174305556;117;0;0;0;0;0;4;0;10;0;0;0;0;0;0;0;0;0;0
1;4;657;0,03553595;-5,438855404;98;129,1000061;273;4,300000191;0,175694444;117;0;0;0;0;0;4;0;5;4;0;0;0;0;0;0;5;0;0
1;4;530;-0,115742865;-5,341137364;95;118,3000031;257;5,300000191;0,177083333;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
1;4;469;-0,126182795;-5,483105017;95;116,4000015;258;4,699999809;0,097222222;133;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
2;1;451;-0,089764609;-4,710559273;94;106,6999969;264;5,300000191;0,184027778;117;0;0;0;0;0;4;0;0;0;0;0;0;0;5;0;5;0;0
1;4;582;-0,182764868;-5,658421208;98;134,3000031;262;3,700000048;0,143055556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;576;-0,120677394;-5,362025464;99;131;272;4,199999809;0,185416667;117;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
2;4;602;-0,229724617;-5,30306797;97;119,4000015;268;5,400000095;0,161111111;117;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0
2;2;527;-0,559676706;-5,240033753;92;114,3000031;264;5;0,188888889;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;543;-0,070426206;-5,011241171;97;123,5999985;269;3,700000048;0,199305556;117;0;0;0;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0
2;4;574;-0,19199502;-4,8978398;93;110;265;4,900000095;0,200694444;117;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
1;4;503;-0,096224613;-5,134728347;94;123,5;259;6;0,202083333;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;604;-0,073435794;-5,426316242;99;129,1999969;272;3,700000048;0,203472222;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;593;-0,144612397;-5,430705864;97;130,8999939;258;3;0,178472222;117;0;0;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0
1;4;557;-0,257600131;-5,35879492;97;122,5;270;4,599999905;0,136111111;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
1;4;561;-0,107586449;-5,13417948;97;124,9000015;262;3,099999905;0,147222222;117;0;0;0;0;0;4;0;0;4;0;0;4;4;0;0;0;0;4
1;4;621;0,034365641;-5,463100972;103;126,8000031;273;4;0,152083333;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;577;-0,242541138;-4,971732261;95;117,5999985;265;5,199999809;0,155555556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;563;-0,185735132;-5,844027391;97;124;265;3,700000048;0,156944444;117;0;0;0;0;0;4;0;5;0;0;0;0;0;0;0;0;0;0
1;4;562;-0,126876262;-4,709883434;97;122,9000015;263;4,099999905;0,122916667;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;638;-0,138430804;-5,543523432;98;126,1999969;264;3,700000048;0,124305556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;547;-0,339999577;-5,236737428;95;122,1999969;263;4,599999905;0,1625;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;527;-0,148347762;-5,228187485;94;121,8000031;262;3,700000048;0,126388889;117;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0
2;4;612;-0,238246319;-5,336335434;95;121,3000031;278;5,900000095;0,161805556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;539;-0,332394096;-5,617290443;96;114,4000015;265;4,900000095;0,1375;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;603;-0,177481251;-5,070657819;93;123,1999969;269;5,599999905;0,138888889;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;629;-0,097216758;-5,005318152;101;125,3000031;267;3,700000048;0,139583333;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;1;498;-0,152738361;-5,15346159;93;121,8000031;260;4,300000191;0,140972222;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;499;-0,050775529;-5,165896468;96;114,0999985;264;5,099999905;0,157638889;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;590;0,042050414;-5,616407395;97;122,8000031;264;3,400000095;0,159722222;117;0;0;0;0;0;4;0;4;0;0;4;4;4;0;4;0;0;0
2;4;559;-0,100191537;-5,189401153;93;113,6999969;255;5,599999905;0,204861111;117;0;0;0;0;0;4;4;0;0;0;4;0;0;0;4;0;4;0
2;4;580;-0,138525362;-5,396955336;96;114;270;5,099999905;0,125694444;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;625;-0,207332945;-4,364689715;96;119,5;260;5,400000095;0,191666667;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;586;-0,155075493;-5,041322383;96;121,1999969;262;5,199999809;0,211805556;117;0;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;0;0
2;4;537;-0,07860979;-5,38936628;96;117,4000015;269;4,099999905;0,213888889;117;0;0;0;0;0;4;0;4;0;0;0;0;4;4;0;0;0;0
1;2;547;-0,263044768;-5,44718317;97;129,3000031;275;4,699999809;0,216666667;117;0;0;0;0;0;4;4;5;4;0;0;0;0;0;0;0;0;0
2;2;548;-0,385365811;-5,243559431;98;122,4000015;258;3,599999905;0,218055556;117;0;0;0;0;0;4;4;0;0;0;0;0;0;4;4;0;0;0
2;4;532;-0,524231641;-5,191566996;98;118,5;264;5,900000095;0,263194444;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;534;-0,146778733;-5,11739483;98;114,0999985;263;5,900000095;0,264583333;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
2;4;559;-0,229565654;-5,957360136;95;114,5999985;273;4,599999905;0,266666667;117;0;0;0;0;0;4;10;0;0;0;0;0;0;0;0;0;0;0
1;4;569;-0,011218297;-5,624450625;97;130,1000061;264;4,699999809;0,268055556;117;0;0;0;0;0;4;5;5;5;5;0;0;0;0;0;0;0;0
2;4;544;-0,145358181;-5,236593927;95;114,5999985;270;5;0,270833333;117;0;0;0;0;0;4;0;0;0;0;0;4;0;4;0;5;0;0
2;4;584;-0,111127954;-5,188267511;100;122,3000031;271;4,300000191;0,272222222;117;0;0;0;0;0;4;0;5;4;0;0;0;0;0;0;0;0;0
1;4;487;-0,470247264;-5,273904128;102;128,6000061;261;3;0,275694444;117;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
2;4;547;-0,273744564;-5,219454518;95;116,1999969;259;5,400000095;0,211111111;117;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
1;4;552;-0,424388526;-5,167565989;100;122;275;3,799999952;0,279166667;117;0;0;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0
1;4;569;-0,133616888;-5,18194405;101;128,1000061;273;3,599999905;0,295138889;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
2;4;535;-0,180606291;-5,05305601;96;117,8000031;269;5,5;0,193055556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;657;-0,197185579;-5,109726196;101;125,4000015;270;4,199999809;0,197222222;117;0;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;0;0
1;1;630;-0,050588187;-5,459145213;97;130;269;3,799999952;0,219444444;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;582;-0,151402338;-5,662507478;98;110,0999985;275;5,599999905;0,220833333;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;562;-0,298614057;-5,288496572;96;131,6999969;259;4,199999809;0,222222222;117;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0
2;4;516;-0,198611228;-5,19338411;97;112,4000015;260;5;0,222916667;117;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0
2;4;505;-0,114660251;-5,364165514;94;110,3000031;267;6;0,224305556;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;622;-0,220539296;-5,146151894;102;119,4000015;276;6;0,289583333;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;494;-0,387490519;-5,268042236;96;111,1999969;268;5,199999809;0,290972222;117;0;0;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0
1;4;563;0,043149991;-5,515907062;97;129,1999969;263;4,5;0,292361111;117;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0
2;4;563;-0,278243093;-4,636850522;100;114,5999985;279;5,800000191;0,29375;117;0;0;0;0;0;4;4;0;0;0;0;0;4;0;0;0;0;0
2;1;523;-0,261980215;-5,435176549;99;115,6999969;260;5,099999905;0,278472222;117;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
1;4;585;-0,00994044;-5,173487501;96;128,8999939;269;4,400000095;0,152083333;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;1;551;-0,111536098;-5,019284649;97;119,8000031;248;4,800000191;0,071527778;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;1;599;-0,162254452;-5,081968859;99;121,9000015;269;4,900000095;0,132638889;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;4;579;-0,30538165;-5,219153902;106;118,5;266;5,199999809;0,134722222;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;514;-0,110336602;-5,90463497;95;116,9000015;267;5,099999905;0,136805556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;673;-0,204322783;-5,458474814;103;126,6999969;272;4,699999809;0,139583333;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;583;0,001774098;-5,380788884;93;112,0999985;257;4,5;0,140972222;124;0;0;0;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0
2;1;622;-0,349047004;-5,087222153;100;116,5;258;5,199999809;0,143055556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;621;0,069493372;-5,29664931;102;124,8000031;272;3,900000095;0,144444444;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;650;-0,297967752;-5,049290237;103;119,5999985;267;5,300000191;0,146527778;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;1;537;-0,163138938;-5,724129617;105;117,0999985;252;4,400000095;0,147916667;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;585;0,004789105;-5,159796589;99;112,5999985;267;6,099999905;0,129861111;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0
2;4;594;-0,095339048;-5,265277513;99;116,0999985;274;5,199999809;0,150694444;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;513;-0,246186815;-5,031744257;95;108,5;243;4,900000095;0,127777778;124;0;0;0;0;9;6;8;0;0;0;0;0;0;0;2;0;0;0
2;4;601;0,090800758;-5,623703534;97;119,4000015;275;5,300000191;0,153472222;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;552;-0,247309617;-5,219423425;92;112,5999985;252;4,400000095;0,15625;124;0;0;0;0;0;6;6;0;0;10;0;0;0;0;0;0;0;0
2;4;589;-0,212328305;-5,071371954;95;113,5999985;271;4,5;0,157638889;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;641;-0,146450931;-5,506581536;103;116,6999969;273;5;0,159722222;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;473;-0,308418382;-5,082721021;101;125,1999969;252;4,599999905;0,161111111;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;1;474;-0,028229478;-5,119639165;87;106,8000031;240;4,699999809;0,163194444;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;4;525;-0,312083788;-5,151121611;98;120,5999985;250;5,400000095;0,165277778;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;565;-0,248452928;-5,093936092;100;127,0999985;270;3,400000095;0,166666667;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;547;-0,068576529;-5,525771615;103;125,8000031;276;4,300000191;0,16875;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;4;537;-0,066486019;-5,247952434;95;113,4000015;261;4,099999905;0,170138889;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;514;-0,300754154;-5,476812166;98;114,8000031;257;5,300000191;0,171527778;124;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;0;0;0
2;4;610;-0,290455038;-5,592180299;102;114,3000031;265;5,300000191;0,149305556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;569;-0,082538698;-5,962378965;101;119,5;245;4,400000095;0,073611111;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
1;4;624;-0,18433363;-5,145503512;107;127,5999985;267;4,900000095;0,081944444;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;1;566;-0,23072718;-5,345416394;101;115,1999969;249;4,400000095;0,086111111;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;2;547;-0,233217364;-5,426906008;97;121;258;5,099999905;0,088888889;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;637;-0,087865523;-5,189960915;101;123,5;258;4,699999809;0,090972222;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;691;-0,015575536;-5,499837504;97;115,1999969;274;4,699999809;0,093055556;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;1;559;-0,197181621;-4,653813819;98;105,6999969;253;5,300000191;0,095138889;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;1;618;-0,022343272;-5,439165676;101;126,9000015;267;4,599999905;0,099305556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;590;-0,183308982;-5,568503525;100;117,5999985;265;4,900000095;0,101388889;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;557;-0,185329447;-5,133947987;102;117,9000015;271;5,5;0,130555556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;677;-0,268779661;-5,488937726;101;124,6999969;269;5,199999809;0,177083333;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;594;-0,100197882;-5,459094396;98;119,5;260;4,699999809;0,108333333;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;522;-0,38783618;-4,984412099;96;114,8000031;255;4,699999809;0,109722222;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;1;505;-0,010705103;-5,346800264;96;112,5;249;4,300000191;0,111805556;124;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0
1;4;573;-0,195922695;-5,361595012;96;120,8000031;263;5,099999905;0,113194444;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;4;552;-0,016204058;-5,050438588;98;116,9000015;276;4,300000191;0,115277778;124;0;0;0;0;0;6;0;8;0;0;0;8;0;0;0;0;0;0
2;1;525;-0,338881554;-4,870488662;102;111,9000015;255;5,099999905;0,116666667;124;0;0;0;0;0;6;0;0;8;0;0;0;0;0;0;0;0;0
1;4;549;-0,482048399;-5,204769522;97;122,9000015;265;4,699999809;0,118055556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;649;-0,282607351;-5,116212002;95;113;277;5,400000095;0,120833333;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;628;-0,220678532;-5,231432661;101;119;267;4;0,122916667;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;605;-0,359405751;-5,072740301;96;119;258;4;0,124305556;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;1;579;-0,295008112;-4,973129052;97;111,8000031;258;4,800000191;0,102777778;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;563;-0,326382613;-5,133784025;101;124,3000031;262;4,099999905;0,240972222;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;562;-0,103868383;-4,878602272;100;119,4000015;273;5;0,220833333;124;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;0
2;4;613;-0,032088315;-5,449964915;102;120;267;4,900000095;0,221527778;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;470;-0,295721955;-5,306616169;91;111,0999985;249;4,900000095;0,222916667;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;4;631;-0,328586132;-5,48721448;102;120,9000015;265;4,400000095;0,223611111;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;4;573;-0,314831268;-4,665837588;97;114;258;5,300000191;0,225;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0
1;4;579;-0,111171818;-5,173401812;101;122,5999985;268;4,599999905;0,226388889;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;438;-0,399919342;-5,179503394;98;113,1999969;246;5,300000191;0,227777778;124;0;0;0;0;0;6;0;0;7;0;0;0;0;0;0;0;0;0
1;4;547;-0,287785373;-5,232355611;98;122,9000015;267;5,099999905;0,229166667;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;540;-0,458699581;-4,43418709;100;116,9000015;260;4,800000191;0,230555556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;592;-0,342715087;-5,396757439;103;127,8000031;281;4;0,233333333;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;610;-0,066304003;-5,807579268;102;120,5999985;274;3,599999905;0,173611111;124;0;0;0;0;0;6;0;6;0;0;3;0;0;6;3;6;0;0
2;4;648;-0,214211541;-5,427319286;104;123,5999985;277;5,599999905;0,215972222;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;524;0,138307573;-4,913471546;95;119,3000031;263;4,400000095;0,243055556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;1;618;-0,083293165;-5,126403005;103;119,6999969;252;4,800000191;0,244444444;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;569;-0,18955558;-5,387766247;99;122;272;5,099999905;0,245138889;124;0;0;0;0;0;6;0;0;0;8;0;0;0;0;0;0;0;0
1;4;604;-0,037467412;-5,665767383;101;123,0999985;266;3,599999905;0,252777778;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;4;609;-0,836992845;-5,132763533;95;119,5;267;4,5;0,254166667;124;0;0;0;0;0;6;0;10;0;0;0;0;0;0;0;0;0;0
1;4;597;0,078651123;-5,350634331;97;129;262;4,5;0,255555556;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;607;-0,172906558;-5,805302289;101;119,3000031;262;5,199999809;0,256944444;124;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0
2;4;607;-0,374308207;-5,105440296;98;118;259;5,5;0,258333333;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1;4;572;-0,158953322;-5,431448679;100;123;272;5;0,259722222;124;0;0;0;0;0;6;0;10;0;0;0;0;0;0;0;0;0;0
2;4;525;-0,433164337;-5,348022863;94;115,3000031;259;5,400000095;0,261111111;124;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
