SexN;AgeN;MS;LogitH;LogitB;TA;TH;WL;BH;HT;DS;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T33;T34;T35;T36;T37;T38;T39;T40
2;4;622;-0,157708347;-4,928862696;103;123,3000031;272;5;0,442361111;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;520;-0,148797435;-4,731450352;96;113,0999985;260;4,400000095;0,438888889;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;575;-0,25566794;-5,076652984;101;128,3000031;266;5,5;0,440972222;70;0;0;0;4;0;0;0;0;0;0;0;4;0;4;0;0;1;0
1;4;602;-0,201241865;-5,031610353;103;129,8000031;267;5,099999905;0,439583333;70;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
2;2;559;-0,140378465;-4,750435352;97;118,3000031;258;5,099999905;0,469444444;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;537;-0,245453792;-4,859475307;100;127,9000015;267;4,699999809;0,445138889;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;640;-0,087920588;-4,749185644;104;121,8000031;275;5,199999809;0,48125;70;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
2;4;591;-0,213587354;-4,839079111;96;118,5;271;6,300000191;0,491666667;70;0;0;0;4;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2;4;603;-0,087340812;-4,919822234;96;120,1999969;260;5,300000191;0,490277778;70;0;0;0;4;0;4;0;0;4;0;0;0;0;0;0;0;0;0
1;2;514;-0,22343463;-4,893612839;100;130,3000031;267;4,400000095;0,489583333;70;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;2;575;-0,108944689;-5,053535128;92;114,0999985;265;4,599999905;0,488194444;70;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
1;1;512;-0,152212261;-4,615931744;102;123;246;6,099999905;0,4875;70;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;2;462;-0,2004425;-4,697391183;99;113,5999985;257;5,300000191;0,486111111;70;0;0;0;4;0;4;4;0;0;0;0;0;0;0;0;0;0;0
1;2;544;-0,225111697;-4,959913032;99;126,9000015;270;3,900000095;0,484722222;70;0;0;0;4;0;0;0;4;0;0;0;0;0;4;0;0;0;0
1;4;751;-0,156235183;-4,919198555;97;129;274;3;0,050694444;119;0;0;0;4;0;0;0;4;0;0;0;4;0;4;0;0;0;0
2;4;625;-0,257126547;-4,745248284;98;116,3000031;260;5,800000191;0,470833333;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;570;-0,218013297;-4,776858486;98;117;263;5,300000191;0,482638889;70;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2;4;551;-0,037315362;-5,015015929;94;118,5999985;272;5,5;0,495138889;70;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
2;4;545;-0,099988374;-5,082677642;94;119,5999985;269;5;0,168055556;117;0;0;0;4;0;4;0;0;4;0;0;0;0;0;0;0;0;0
1;4;628;-0,190664871;-4,540016091;100;126,4000015;273;4,800000191;0,479166667;70;0;0;0;4;4;0;4;0;4;0;4;0;4;0;4;0;0;0
1;1;487;-0,068923593;-4,881959818;94;116,3000031;265;4,599999905;0,477777778;70;0;0;0;4;0;4;4;0;4;0;0;4;4;4;0;4;0;0
1;2;520;-0,209189663;-4,845861007;101;120,1999969;259;4,900000095;0,477083333;70;0;0;0;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0
2;4;624;-0,37793528;-5,095963156;97;118,3000031;267;6,099999905;0,475694444;70;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0
2;1;543;-0,130763438;-4,530280843;98;115,3000031;257;5,300000191;0,472222222;70;0;0;0;4;0;0;0;0;0;0;4;0;0;0;4;0;0;0
2;2;538;-0,304862977;-4,812334901;98;116,3000031;260;4,699999809;0,286111111;117;0;0;0;4;0;4;0;0;0;0;4;0;0;0;4;0;0;0
2;2;534;-0,286933289;-4,703074401;101;110;261;5,300000191;0,484027778;70;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0
1;1;585;-0,267822239;-4,720376806;99;126,1999969;257;4,699999809;0,51875;70;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0
2;4;559;-0,224041352;-4,564516188;96;112,5999985;275;5,699999809;0,507638889;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;641;-0,244530954;-4,922199979;101;118,4000015;267;6;0,492361111;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;541;-0,110127065;-4,978656512;94;112,6999969;268;5,699999809;0,49375;70;0;0;0;4;5;0;0;0;5;0;0;0;0;0;0;0;0;0
2;4;553;-0,126069703;-5,152846853;93;114,3000031;266;5,300000191;0,257638889;117;0;0;0;4;5;4;0;0;5;0;0;0;0;0;0;0;0;0
2;2;546;0,028524109;-4,969971115;98;111,8000031;251;5;0,5;70;0;0;0;4;0;0;0;0;0;7;0;0;0;0;0;0;0;0
2;2;534;-0,062510123;-4,860307086;95;118,5;265;3,900000095;0,498611111;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;602;-0,16019964;-4,917219615;99;124,1999969;269;3,799999952;0,497222222;70;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
1;1;555;-0,142360094;-4,821792521;100;118,8000031;264;4,5;0,496527778;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;566;-0,28701391;-4,665423221;99;117,4000015;279;5,5;0,554861111;70;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0
1;4;652;-0,089886319;-5,143201309;102;128;263;3,900000095;0,169444444;70;0;0;4;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0
2;1;525;-0,380170772;-4,88698401;95;113,1999969;243;5,099999905;0,1625;70;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;556;-0,177609175;-5,229061855;98;127,9000015;277;5,099999905;0,271527778;70;4;4;4;4;0;0;4;10;0;0;0;0;0;0;0;0;0;0
1;4;677;0,055650312;-4,990918377;102;127,8000031;272;5,099999905;0,263194444;70;4;0;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0
1;1;431;-0,135065004;-5,102750583;96;109;243;4,5;0,211805556;70;0;0;4;4;0;0;4;0;4;0;4;0;0;0;0;0;0;0
1;4;630;-0,160511993;-5,392490535;99;130,1000061;269;4,599999905;0,325;70;4;0;4;4;4;0;4;0;4;0;4;0;4;0;4;0;0;0
2;4;620;-0,106423074;-4,636954744;98;114,0999985;261;5,800000191;0,316666667;70;0;0;0;4;4;4;4;0;4;0;4;0;0;0;0;0;0;0
2;4;599;-0,307361631;-4,735223314;96;117;274;4,5;0,286805556;70;4;0;4;4;4;0;4;0;4;0;0;0;0;0;0;0;0;0
2;4;622;-0,019137839;-4,992171305;92;110,5999985;269;6,199999809;0,420138889;70;0;0;4;4;4;0;4;0;4;0;0;0;0;0;0;0;0;0
2;4;584;-0,191787329;-5,208392659;96;116,0999985;269;5;0,41875;70;4;4;4;4;4;0;4;0;4;0;0;0;0;0;0;0;0;0
1;4;517;-0,438715308;-5,52338499;98;125,0999985;271;4,800000191;0,25625;117;0;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0
1;4;515;-0,462183817;-4,66131902;95;120,1999969;257;4,699999809;0,060416667;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;1;571;-0,117035989;-4,425773924;95;114,9000015;255;5,5;0,058333333;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
1;4;569;-0,335355542;-4,871920422;93;126,9000015;267;3,5;0,056944444;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;636;-0,248785982;-4,776258675;104;129,6000061;267;5,199999809;0,054166667;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;4;589;-0,376897828;-4,503794775;97;112,5999985;261;5,199999809;0,052083333;98;0;0;0;0;0;5;0;5;5;0;5;5;5;5;0;5;0;0
1;4;609;-0,164247853;-5,026071102;96;127,4000015;267;4;0,05;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;628;-0,264597141;-4,916100324;98;113,9000015;263;6,199999809;0,047222222;98;0;0;0;0;0;5;3;5;0;0;0;0;0;0;0;0;0;0
2;4;540;-0,247408173;-4,569543008;97;119,8000031;260;4,400000095;0,045833333;98;0;0;0;0;0;5;5;0;5;0;0;0;0;0;0;0;0;0
2;4;670;-0,264950407;-5,296073472;99;125,9000015;264;4,5;0,043055556;98;0;0;0;0;0;5;0;0;0;0;9;0;0;0;0;0;0;0
1;4;598;-0,257357648;-4,943822584;102;127,4000015;268;4,199999809;0,039583333;98;0;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0
1;4;627;-0,274571906;-5,293514183;100;130,8999939;270;4;0,082638889;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;535;-0,487175873;-4,956467057;93;109;267;5,5;0,065972222;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;637;-0,248027101;-4,749821342;100;119,4000015;274;5,199999809;0,067361111;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
1;1;646;-0,321190766;-4,730273303;90;123,3000031;266;4,800000191;0,06875;98;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0
2;4;558;-0,164799699;-4,574168238;97;118,4000015;270;4,900000095;0,071527778;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;611;-0,447082108;-4,670988625;95;114,6999969;263;5,199999809;0,073611111;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;599;-0,271598175;-5,124324664;101;131,1000061;272;4,400000095;0,074305556;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;574;-0,272905905;-4,989676443;99;120,5;271;4,099999905;0,075694444;98;0;0;0;0;0;5;0;0;0;0;5;0;5;5;5;5;5;0
2;4;507;-0,379097116;-5,225925869;101;113,0999985;267;4,699999809;0,077777778;98;0;0;0;0;0;5;0;0;0;10;0;0;0;0;0;0;0;0
2;4;612;-0,381917295;-4,308409995;96;111,0999985;271;6,599999905;0,063888889;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;2;585;-0,476547299;-5,295409917;91;117,8000031;263;5;0,081944444;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;612;-0,384009821;-5,410752795;99;125,4000015;275;4,300000191;0,100694444;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;4;590;-0,41559286;-4,815637994;91;115,3000031;266;4,900000095;0,084027778;98;0;0;0;0;0;5;3;5;0;0;0;0;0;0;0;0;0;0
1;1;544;-0,30242172;-5,196192353;99;114,4000015;255;3,200000048;0,085416667;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;571;-0,294159378;-5,029321405;95;121,3000031;264;4,599999905;0,086805556;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;541;-0,228939424;-4,910895026;93;109,8000031;258;5,5;0,088888889;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;1;584;-0,186986222;-5,589586748;98;119,9000015;270;4,699999809;0,090972222;98;0;0;0;0;0;5;5;0;5;0;0;0;5;0;5;0;5;0
2;4;589;-0,179019278;-5,039708541;100;121;265;5,599999905;0,09375;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;4;551;-0,358639089;-5,487187944;100;121,3000031;268;4,800000191;0,095833333;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;4;569;-0,306690478;-4,837183376;98;114,0999985;258;5,699999809;0,097222222;98;0;0;0;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0
