"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"2",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"3",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"4",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"5",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"6",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"7",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"8",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"9",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"10",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"11",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"12",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"13",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"14",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"15",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"16",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"17",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"18",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"19",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"20",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"21",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"22",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"23",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"24",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"25",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"26",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"27",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"28",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"29",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"30",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"31",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"32",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
"33",-1.07635734294167e-15,-8.07730274091862e-17,2.30533963041167e-16,-9.72085611083211e-16,-2.83140568338041e-16,-1.59832726081581e-15,2.53562100327707e-16,-9.94305694006001e-17,-1.03157014974253e-16
