"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[106]",-0.09,-0.08,0.18,-0.48,0.26
"eta1[107]",1.37,1.35,0.24,0.93,1.88
"eta1[108]",-1.26,-1.26,0.17,-1.62,-0.93
"eta1[109]",1.53,1.53,0.02,1.5,1.57
"eta1[110]",1.5,1.48,0.39,0.73,2.32
"eta1[111]",0.54,0.55,0.33,-0.12,1.21
"eta1[112]",1.52,1.51,0.5,0.54,2.56
"eta1[113]",1.46,1.44,0.54,0.38,2.61
"eta1[114]",-0.37,-0.38,0.29,-0.93,0.24
"eta1[115]",1.88,1.87,0.47,0.98,2.89
"eta1[116]",-0.47,-0.48,0.18,-0.78,-0.08
"eta1[117]",-1.38,-1.39,0.14,-1.66,-1.08
"eta1[118]",2.08,2.09,0.18,1.71,2.45
"eta1[119]",0.17,0.17,0.08,0.01,0.35
"eta1[120]",-0.39,-0.37,0.62,-1.68,0.82
"eta1[121]",-0.96,-0.98,0.5,-1.96,0.1
"eta1[122]",-0.04,-0.05,0.13,-0.3,0.24
"eta1[123]",1.27,1.25,0.32,0.7,1.99
"eta1[124]",0.29,0.29,0.14,-0.03,0.54
"eta1[125]",0.68,0.67,0.32,0.05,1.36
"eta1[126]",0.52,0.5,0.34,-0.14,1.24
"eta1[127]",1.05,1.03,0.26,0.55,1.61
"eta1[128]",-1.17,-1.16,0.08,-1.34,-1.02
"eta1[129]",-0.16,-0.16,0.05,-0.24,-0.06
"eta1[130]",-0.72,-0.73,0.14,-0.97,-0.4
"eta1[131]",0.64,0.63,0.2,0.24,1.06
"eta1[132]",0.55,0.53,0.28,0.01,1.14
"eta1[133]",-0.46,-0.45,0.42,-1.29,0.39
"eta1[134]",-0.84,-0.85,0.21,-1.23,-0.41
"eta1[135]",-0.96,-0.96,0.22,-1.41,-0.5
"eta1[136]",2.35,2.33,0.64,1.11,3.71
"eta1[137]",1.54,1.54,0.41,0.73,2.39
"eta1[138]",-0.25,-0.24,0.01,-0.27,-0.22
"eta1[139]",1.21,1.21,0.1,0.99,1.38
"eta1[140]",0.89,0.88,0.27,0.37,1.46
"eta1[141]",-1.19,-1.19,0.24,-1.71,-0.71
"eta1[142]",3.83,3.79,0.95,2,5.84
"eta1[143]",-0.7,-0.69,0.29,-1.32,-0.12
"eta1[144]",-0.13,-0.13,0.08,-0.31,0.04
"eta1[145]",2.07,2.05,0.4,1.31,2.91
"eta1[146]",1.36,1.35,0.23,0.91,1.84
"eta1[147]",-0.42,-0.4,0.38,-1.24,0.27
"eta1[148]",1.87,1.86,0.2,1.52,2.3
"eta1[149]",0.7,0.71,0.28,0.14,1.27
"eta1[150]",1.54,1.54,0.02,1.48,1.58
"eta1[151]",1.05,1.04,0.17,0.75,1.41
"eta1[152]",1.66,1.65,0.3,1.06,2.3
"eta1[153]",-0.09,-0.09,0.03,-0.16,-0.03
"eta1[154]",-1.68,-1.66,0.56,-2.88,-0.61
"eta1[155]",-0.76,-0.77,0.64,-2.07,0.49
"eta1[156]",0.53,0.52,0.18,0.19,0.92
"eta1[157]",0.96,0.97,0.21,0.54,1.36
"eta1[158]",1.42,1.39,0.59,0.27,2.66
"eta1[159]",1.06,1.05,0.37,0.35,1.84
"eta1[160]",1.17,1.15,0.41,0.36,2.04
"eta1[161]",1.82,1.79,0.71,0.45,3.32
"eta1[162]",0.54,0.5,0.55,-0.45,1.71
"eta1[163]",0.87,0.85,0.31,0.28,1.53
"eta1[164]",-0.71,-0.72,0.15,-0.98,-0.4
"eta1[165]",1.62,1.61,0.42,0.8,2.51
"eta1[166]",0.45,0.42,0.42,-0.34,1.34
"eta1[167]",0.42,0.41,0.1,0.22,0.63
"eta1[168]",2.72,2.72,0.12,2.48,2.95
"eta1[169]",0.65,0.65,0.38,-0.1,1.45
