"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"epst.phi[2, 11]",1.78,0.78,3.92,-4.03,12.17
"epst.phi[3, 11]",0.48,0.16,1.16,-1.09,3.48
"epst.phi[4, 11]",-0.91,-1.35,1.54,-2.72,3.44
"epst.phi[5, 11]",0.3,0.03,2.3,-3.27,5.4
"epst.phi[6, 11]",0.82,0.41,3.02,-3.75,7.98
"epst.phi[7, 11]",4.46,3.52,3.76,-0.12,13.96
"epst.phi[8, 11]",-0.35,-0.08,1.64,-4.51,2.68
"epst.phi[9, 11]",0.82,0.5,1.8,-1.54,5.49
"epst.phi[1, 12]",-1.19,-2.25,3.81,-5.86,9.55
"epst.phi[2, 12]",1.98,0.9,3.97,-3.04,11.69
"epst.phi[3, 12]",-0.01,-0.04,1.23,-2.3,2.9
"epst.phi[4, 12]",0.11,0.05,0.74,-1.11,1.78
"epst.phi[5, 12]",0.84,0.53,1.38,-0.51,4.14
"epst.phi[6, 12]",0.95,0.52,3.05,-3.15,8.53
"epst.phi[7, 12]",-0.8,-0.91,0.94,-2.3,1.41
"epst.phi[8, 12]",0.79,0.32,1.57,-1.09,5.16
"epst.phi[9, 12]",-0.45,-0.43,2.01,-4.77,3.65
"epst.phi[1, 13]",2.17,0.86,4.94,-3.67,14.92
"epst.phi[2, 13]",1.47,0.32,3.24,-1.52,11.16
"epst.phi[3, 13]",0.23,0.07,1.14,-1.61,3.33
"epst.phi[4, 13]",0.42,0.28,0.94,-1.06,2.66
"epst.phi[5, 13]",2.13,1.82,1.94,-0.64,7.11
"epst.phi[6, 13]",1.7,1.22,2.73,-2.16,8.25
"epst.phi[7, 13]",5.02,4.16,3.71,0.47,14.53
"epst.phi[8, 13]",0.17,-0.02,1.29,-1.69,3.52
"epst.phi[9, 13]",-1.34,-1.5,1.14,-3.15,1.37
"epst.phi[1, 14]",4.6,3.42,4.5,-0.55,17.14
"epst.phi[2, 14]",-2.28,-1.31,5.11,-14.54,7.68
"epst.phi[3, 14]",0.42,0.13,1.09,-1.13,3.35
"epst.phi[4, 14]",1.74,1.58,1.51,-0.59,5.3
"epst.phi[5, 14]",0.91,0.79,0.92,-0.63,3.15
"epst.phi[6, 14]",3.08,2.41,2.86,-0.12,9.84
"epst.phi[7, 14]",-1.73,-1.93,1.08,-2.78,0.44
"epst.phi[8, 14]",0.44,0.15,1.35,-1.42,4.18
"epst.phi[9, 14]",0.54,0.26,1.76,-2.12,5.12
"epst.phi[1, 15]",4.85,3.63,4.43,-0.28,16.51
"epst.phi[2, 15]",2.17,0.91,3.47,-1.34,11.98
"epst.phi[3, 15]",0.1,0,1.17,-1.99,2.76
"epst.phi[4, 15]",1.87,1.59,1.68,-0.49,5.87
"epst.phi[5, 15]",1.58,1.24,2.07,-1.23,6.79
"epst.phi[6, 15]",2.4,1.86,2.53,-0.77,8.86
"epst.phi[7, 15]",4.35,3.19,4.03,-0.25,15.15
"epst.phi[8, 15]",-0.38,-0.46,0.76,-1.4,1.27
"epst.phi[9, 15]",-0.75,-0.87,0.67,-1.58,0.86
"epst.phi[1, 16]",4.36,3.28,4.29,-0.91,15.19
"epst.phi[2, 16]",-0.47,-0.31,4.52,-9.69,10.07
"epst.phi[3, 16]",0.54,0.26,1.09,-0.99,3.3
"epst.phi[4, 16]",1.18,0.93,1.87,-1.58,5.66
"epst.phi[5, 16]",2.55,2.25,1.69,0.03,6.39
"epst.phi[6, 16]",2.79,2.27,2.29,-0.19,8.26
"epst.phi[7, 16]",-5.04,-5.55,5.5,-16.32,6.4
"epst.phi[8, 16]",-0.23,-0.16,1.36,-2.63,2.74
"epst.phi[9, 16]",-0.2,-0.11,2.06,-4.31,4.01
"epst.phi[1, 17]",3.81,2.73,4.69,-2.03,15.56
"epst.phi[2, 17]",2.7,1.38,3.9,-0.83,13.24
"epst.phi[3, 17]",0.23,0.06,1.1,-1.62,3.04
"epst.phi[4, 17]",0.93,0.71,1.87,-2.06,5.51
"epst.phi[5, 17]",0.82,0.59,2.16,-2.7,5.68
"epst.phi[6, 17]",2.21,1.65,2.7,-1.11,9.24
"epst.phi[7, 17]",2.72,1.79,4.29,-2.8,13.7
"epst.phi[8, 17]",0.47,0.1,1.28,-1.06,3.92
"epst.phi[9, 17]",-1.22,-1.36,0.77,-2.13,0.32
"epst.phi[1, 18]",NA,NA,NA,NA,NA
"epst.phi[2, 18]",NA,NA,NA,NA,NA
"epst.phi[3, 18]",NA,NA,NA,NA,NA
"epst.phi[4, 18]",NA,NA,NA,NA,NA
"epst.phi[5, 18]",NA,NA,NA,NA,NA
"epst.phi[6, 18]",NA,NA,NA,NA,NA
"epst.phi[7, 18]",NA,NA,NA,NA,NA
"epst.phi[8, 18]",NA,NA,NA,NA,NA
"epst.phi[9, 18]",NA,NA,NA,NA,NA
