"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu2[1]",-0.09,-0.09,0.04,-0.17,0
"mu2[2]",-0.35,-0.36,0.06,-0.48,-0.24
"mu2[3]",-0.45,-0.45,0.09,-0.62,-0.28
"mu2[4]",-0.44,-0.43,0.09,-0.61,-0.26
"mu2[5]",-0.08,-0.08,0.06,-0.19,0.04
"mu2[6]",-0.1,-0.09,0.06,-0.2,0.02
"mu2[7]",-0.07,-0.07,0.06,-0.19,0.04
"mu2[8]",0.01,0.01,0.06,-0.11,0.12
"mu2[9]",-0.12,-0.12,0.05,-0.22,-0.02
"mu2[10]",-0.17,-0.17,0.07,-0.31,-0.03
"mu2[11]",0.21,0.2,0.08,0.06,0.36
"mu2[12]",0,0,0.05,-0.09,0.09
"mu2[13]",0.16,0.16,0.08,0.02,0.31
"mu2[14]",0.08,0.08,0.07,-0.06,0.23
"mu2[15]",-0.11,-0.11,0.04,-0.19,-0.03
"mu2[16]",-0.19,-0.19,0.06,-0.3,-0.08
"mu2[17]",0.13,0.13,0.06,0.02,0.24
"mu2[18]",0.21,0.21,0.08,0.07,0.37
"mu2[19]",0.12,0.13,0.06,0.01,0.23
"mu2[20]",0.04,0.05,0.05,-0.06,0.14
"mu2[21]",0.17,0.16,0.08,0.02,0.32
"mu2[22]",0.38,0.37,0.09,0.21,0.54
"mu2[23]",0.08,0.08,0.05,-0.02,0.18
"mu2[24]",0.33,0.33,0.08,0.18,0.48
"mu2[25]",0.05,0.05,0.07,-0.09,0.2
"mu2[26]",0.14,0.14,0.05,0.03,0.24
"mu2[27]",-0.04,-0.05,0.04,-0.12,0.04
"mu2[28]",0.06,0.06,0.05,-0.03,0.16
"mu2[29]",-0.04,-0.04,0.05,-0.15,0.06
"mu2[30]",0.23,0.23,0.07,0.1,0.36
"mu2[31]",0.03,0.03,0.05,-0.06,0.13
"mu2[32]",0.03,0.03,0.05,-0.07,0.12
"mu2[33]",0.15,0.15,0.06,0.04,0.26
"mu2[34]",-0.05,-0.05,0.07,-0.19,0.09
"mu2[35]",0.04,0.04,0.05,-0.05,0.14
"mu2[36]",-0.06,-0.05,0.05,-0.15,0.04
"mu2[37]",-0.2,-0.2,0.05,-0.3,-0.1
"mu2[38]",0.01,0.01,0.05,-0.08,0.1
"mu2[39]",-0.05,-0.05,0.08,-0.21,0.11
"mu2[40]",-0.23,-0.23,0.04,-0.31,-0.15
"mu2[41]",-0.06,-0.07,0.05,-0.16,0.03
"mu2[42]",-0.18,-0.18,0.04,-0.25,-0.1
"mu2[43]",0.18,0.18,0.07,0.04,0.33
