"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu2[44]",-0.18,-0.18,0.04,-0.26,-0.11
"mu2[45]",0.01,0.01,0.07,-0.12,0.16
"mu2[46]",0.08,0.08,0.08,-0.06,0.23
"mu2[47]",0.73,0.73,0.15,0.45,1.02
"mu2[48]",0.87,0.88,0.19,0.51,1.24
"mu2[49]",1.1,1.1,0.21,0.69,1.52
"mu2[50]",0.8,0.79,0.18,0.45,1.14
"mu2[51]",0.87,0.87,0.19,0.5,1.24
"mu2[52]",0.74,0.74,0.16,0.43,1.06
"mu2[53]",0.3,0.3,0.08,0.14,0.46
"mu2[54]",0.67,0.67,0.18,0.32,1.03
"mu2[55]",0.56,0.55,0.17,0.23,0.88
"mu2[56]",0.7,0.7,0.17,0.37,1.05
"mu2[57]",0.97,0.97,0.25,0.48,1.46
"mu2[58]",0.04,0.04,0.05,-0.06,0.14
"mu2[59]",0.14,0.14,0.06,0.02,0.26
"mu2[60]",0.21,0.21,0.08,0.06,0.36
"mu2[61]",-0.09,-0.09,0.04,-0.17,-0.01
"mu2[62]",0.12,0.12,0.06,0.01,0.22
"mu2[63]",0.2,0.2,0.08,0.06,0.36
"mu2[64]",0.12,0.12,0.06,0.01,0.23
"mu2[65]",0.14,0.14,0.06,0.02,0.25
"mu2[66]",0.31,0.31,0.07,0.17,0.45
"mu2[67]",0.23,0.23,0.08,0.09,0.39
"mu2[68]",0.08,0.08,0.05,-0.02,0.18
"mu2[69]",0.22,0.22,0.07,0.08,0.35
"mu2[70]",0.1,0.1,0.05,0,0.21
"mu2[71]",0.17,0.17,0.06,0.05,0.29
"mu2[72]",0.32,0.32,0.09,0.15,0.49
"mu2[73]",0.08,0.08,0.05,-0.02,0.19
"mu2[74]",0.33,0.33,0.07,0.19,0.47
"mu2[75]",0.34,0.34,0.07,0.19,0.48
"mu2[76]",0.33,0.33,0.07,0.18,0.46
"mu2[77]",0.15,0.15,0.05,0.04,0.25
"mu2[78]",0.25,0.25,0.08,0.1,0.4
"mu2[79]",0.3,0.3,0.08,0.15,0.46
"mu2[80]",0.19,0.19,0.06,0.07,0.3
"mu2[81]",0.12,0.12,0.09,-0.06,0.3
"mu2[82]",0.21,0.22,0.07,0.08,0.35
"mu2[83]",0.19,0.19,0.06,0.07,0.31
"mu2[84]",0.16,0.15,0.08,0.01,0.31
"mu2[85]",0.21,0.21,0.06,0.08,0.34
"mu2[86]",0.48,0.48,0.11,0.26,0.7
"mu2[87]",0.17,0.17,0.1,-0.02,0.36
"mu2[88]",0.21,0.21,0.07,0.07,0.34
"mu2[89]",0.09,0.09,0.05,-0.01,0.19
"mu2[90]",-0.17,-0.17,0.04,-0.26,-0.09
"mu2[91]",-0.17,-0.17,0.05,-0.26,-0.08
"mu2[92]",-0.08,-0.08,0.04,-0.16,0
"mu2[93]",0.23,0.23,0.08,0.08,0.38
"mu2[94]",0.24,0.24,0.1,0.04,0.43
"mu2[95]",0.48,0.49,0.09,0.31,0.66
"mu2[96]",0.34,0.34,0.11,0.12,0.55
"mu2[97]",0.69,0.69,0.13,0.43,0.94
"mu2[98]",0.08,0.08,0.05,-0.02,0.18
"mu2[99]",0.23,0.23,0.1,0.04,0.42
"mu2[100]",0.36,0.36,0.11,0.15,0.58
"mu2[101]",0.28,0.28,0.06,0.16,0.41
"mu2[102]",0.27,0.27,0.06,0.14,0.39
"mu2[103]",0.52,0.52,0.1,0.33,0.7
"mu2[104]",0.75,0.75,0.14,0.48,1.02
"mu2[105]",0.33,0.33,0.07,0.19,0.47
"mu2[106]",0.29,0.29,0.09,0.1,0.47
"mu2[107]",0.09,0.09,0.06,-0.02,0.19
"mu2[108]",0.42,0.42,0.08,0.27,0.58
"mu2[109]",0.28,0.29,0.06,0.15,0.41
"mu2[110]",0.13,0.13,0.06,0,0.25
"mu2[111]",0.43,0.43,0.08,0.27,0.59
"mu2[112]",0.25,0.25,0.07,0.11,0.39
"mu2[113]",0.6,0.6,0.11,0.4,0.8
"mu2[114]",0.5,0.5,0.09,0.32,0.67
"mu2[115]",0.4,0.41,0.1,0.2,0.6
"mu2[116]",-0.26,-0.26,0.07,-0.4,-0.12
"mu2[117]",-0.32,-0.32,0.07,-0.47,-0.18
"mu2[118]",0.23,0.23,0.08,0.09,0.38
"mu2[119]",0.32,0.32,0.08,0.15,0.48
"mu2[120]",-0.02,-0.02,0.09,-0.2,0.17
"mu2[121]",-0.07,-0.07,0.05,-0.18,0.03
"mu2[122]",-0.12,-0.12,0.05,-0.21,-0.03
"mu2[123]",-0.11,-0.11,0.04,-0.19,-0.03
"mu2[124]",0.06,0.06,0.05,-0.04,0.15
"mu2[125]",0.2,0.2,0.08,0.05,0.35
"mu2[126]",0.11,0.11,0.05,0.01,0.2
"mu2[127]",0.07,0.07,0.05,-0.04,0.17
"mu2[128]",0.14,0.14,0.08,-0.02,0.29
"mu2[129]",-0.25,-0.25,0.06,-0.36,-0.14
"mu2[130]",0.18,0.18,0.06,0.06,0.3
"mu2[131]",-0.11,-0.11,0.06,-0.24,0.01
"mu2[132]",-0.09,-0.09,0.04,-0.16,-0.02
"mu2[133]",0.07,0.07,0.05,-0.03,0.16
"mu2[134]",-0.09,-0.09,0.05,-0.19,0.02
"mu2[135]",-0.17,-0.17,0.05,-0.26,-0.07
"mu2[136]",0.35,0.35,0.08,0.19,0.52
"mu2[137]",0.1,0.1,0.05,0,0.2
"mu2[138]",0.08,0.08,0.06,-0.04,0.2
"mu2[139]",0.17,0.17,0.08,0.02,0.32
"mu2[140]",0.09,0.09,0.05,0,0.19
"mu2[141]",-0.06,-0.06,0.05,-0.15,0.03
"mu2[142]",0.09,0.09,0.07,-0.05,0.24
"mu2[143]",-0.15,-0.15,0.07,-0.29,-0.02
"mu2[144]",-0.09,-0.09,0.05,-0.19,0.02
"mu2[145]",-0.06,-0.06,0.07,-0.2,0.09
"mu2[146]",-0.03,-0.04,0.04,-0.11,0.04
"mu2[147]",-0.08,-0.08,0.04,-0.17,0
"mu2[148]",-0.15,-0.15,0.04,-0.22,-0.07
"mu2[149]",-0.03,-0.03,0.08,-0.18,0.13
"mu2[150]",0.04,0.04,0.07,-0.09,0.18
"mu2[151]",0.12,0.12,0.1,-0.08,0.31
"mu2[152]",-0.07,-0.07,0.08,-0.21,0.08
"mu2[153]",-0.41,-0.41,0.07,-0.56,-0.27
"mu2[154]",-0.19,-0.19,0.05,-0.29,-0.09
"mu2[155]",-0.16,-0.16,0.05,-0.26,-0.06
"mu2[156]",-0.23,-0.23,0.05,-0.32,-0.14
"mu2[157]",-0.02,-0.02,0.08,-0.17,0.12
"mu2[158]",0.05,0.05,0.07,-0.09,0.2
"mu2[159]",0.09,0.09,0.1,-0.11,0.28
"mu2[160]",-0.08,-0.08,0.08,-0.22,0.07
"mu2[161]",-0.25,-0.25,0.11,-0.46,-0.04
"mu2[162]",-0.14,-0.14,0.04,-0.21,-0.06
"mu2[163]",-0.02,-0.02,0.07,-0.16,0.13
"mu2[164]",-0.33,-0.33,0.06,-0.46,-0.21
"mu2[165]",-0.07,-0.07,0.08,-0.21,0.09
"mu2[166]",0.04,0.04,0.1,-0.17,0.24
"mu2[167]",-0.07,-0.08,0.04,-0.15,0
"mu2[168]",0.06,0.06,0.07,-0.07,0.21
"mu2[169]",0.15,0.15,0.06,0.04,0.27
"mu2[170]",-0.05,-0.05,0.04,-0.12,0.03
"mu2[171]",-0.11,-0.12,0.04,-0.19,-0.04
"mu2[172]",0.05,0.05,0.05,-0.04,0.14
"mu2[173]",-0.13,-0.13,0.04,-0.2,-0.06
"mu2[174]",-0.08,-0.08,0.06,-0.21,0.03
"mu2[175]",-0.22,-0.22,0.05,-0.32,-0.13
"mu2[176]",-0.21,-0.21,0.05,-0.3,-0.12
"mu2[177]",-0.11,-0.11,0.04,-0.18,-0.03
"mu2[178]",-0.12,-0.12,0.05,-0.23,-0.02
"mu2[179]",-0.06,-0.06,0.04,-0.13,0.02
"mu2[180]",-0.07,-0.07,0.08,-0.21,0.08
"mu2[181]",0.03,0.02,0.07,-0.11,0.17
"mu2[182]",0.08,0.08,0.08,-0.07,0.23
"mu2[183]",-0.03,-0.03,0.05,-0.13,0.07
"mu2[184]",-0.08,-0.08,0.04,-0.15,-0.01
"mu2[185]",0.07,0.07,0.05,-0.03,0.16
"mu2[186]",-0.12,-0.12,0.1,-0.31,0.07
"mu2[187]",-0.02,-0.01,0.05,-0.12,0.08
"mu2[188]",0.13,0.13,0.06,0.01,0.24
"mu2[189]",0.17,0.17,0.05,0.07,0.27
"mu2[190]",0.24,0.24,0.06,0.13,0.35
"mu2[191]",0.22,0.22,0.07,0.09,0.34
"mu2[192]",0.31,0.3,0.08,0.15,0.46
"mu2[193]",0.3,0.3,0.07,0.16,0.42
"mu2[194]",0.3,0.3,0.06,0.18,0.42
"mu2[195]",0.19,0.19,0.05,0.09,0.29
"mu2[196]",0.21,0.21,0.06,0.08,0.32
"mu2[197]",-0.05,-0.05,0.05,-0.15,0.04
"mu2[198]",0.24,0.24,0.06,0.11,0.36
"mu2[199]",0.04,0.04,0.07,-0.1,0.18
"mu2[200]",0.36,0.37,0.07,0.22,0.5
"mu2[201]",0.35,0.35,0.09,0.18,0.51
"mu2[202]",0.21,0.2,0.09,0.03,0.37
"mu2[203]",0.29,0.29,0.06,0.16,0.41
"mu2[204]",0.09,0.09,0.08,-0.07,0.24
"mu2[205]",0.32,0.32,0.08,0.17,0.46
"mu2[206]",0.13,0.13,0.05,0.03,0.22
"mu2[207]",0.31,0.31,0.07,0.17,0.44
"mu2[208]",0.4,0.4,0.08,0.24,0.54
"mu2[209]",-0.06,-0.06,0.04,-0.15,0.02
"mu2[210]",-0.1,-0.11,0.04,-0.18,-0.03
"mu2[211]",0.05,0.05,0.05,-0.03,0.14
"mu2[212]",0.14,0.14,0.05,0.03,0.25
"mu2[213]",-0.08,-0.08,0.04,-0.15,-0.01
"mu2[214]",-0.06,-0.05,0.04,-0.14,0.03
"mu2[215]",-0.01,-0.01,0.04,-0.08,0.07
"mu2[216]",-0.09,-0.09,0.04,-0.16,-0.02
"mu2[217]",-0.17,-0.17,0.05,-0.27,-0.06
"mu2[218]",-0.03,-0.03,0.04,-0.12,0.05
"mu2[219]",-0.19,-0.19,0.04,-0.27,-0.1
"mu2[220]",-0.11,-0.11,0.05,-0.2,-0.01
"mu2[221]",-0.21,-0.21,0.05,-0.3,-0.12
"mu2[222]",-0.13,-0.13,0.04,-0.2,-0.04
"mu2[223]",-0.07,-0.07,0.04,-0.14,0
"mu2[224]",-0.04,-0.04,0.06,-0.15,0.06
"mu2[225]",-0.18,-0.18,0.04,-0.26,-0.1
"mu2[226]",0.04,0.04,0.04,-0.04,0.13
"mu2[227]",-0.29,-0.29,0.07,-0.44,-0.14
"mu2[228]",0.05,0.05,0.04,-0.03,0.14
"mu2[229]",0.08,0.08,0.05,-0.01,0.17
"mu2[230]",-0.08,-0.08,0.05,-0.19,0.02
"mu2[231]",0,0.01,0.05,-0.1,0.09
"mu2[232]",-0.03,-0.03,0.04,-0.1,0.05
"mu2[233]",0.07,0.07,0.05,-0.03,0.16
"mu2[234]",-0.14,-0.14,0.05,-0.24,-0.05
"mu2[235]",0.14,0.14,0.07,-0.01,0.29
"mu2[236]",-0.15,-0.15,0.05,-0.24,-0.06
"mu2[237]",-0.02,-0.02,0.08,-0.17,0.13
"mu2[238]",0.19,0.19,0.07,0.04,0.34
"mu2[239]",-0.21,-0.21,0.08,-0.37,-0.07
"mu2[240]",-0.03,-0.02,0.07,-0.16,0.11
"mu2[241]",-0.04,-0.04,0.06,-0.17,0.08
"mu2[242]",0.11,0.11,0.07,-0.03,0.25
"mu2[243]",-0.03,-0.03,0.05,-0.14,0.08
"mu2[244]",0.05,0.05,0.06,-0.07,0.17
"mu2[245]",0.03,0.03,0.06,-0.09,0.15
"mu2[246]",0.01,0.01,0.05,-0.09,0.1
"mu2[247]",0.22,0.21,0.09,0.04,0.38
"mu2[248]",0.38,0.38,0.1,0.18,0.57
"mu2[249]",0.18,0.18,0.09,0,0.34
"mu2[250]",0.31,0.31,0.07,0.16,0.45
"mu2[251]",0.32,0.32,0.08,0.17,0.46
"mu2[252]",0.43,0.43,0.1,0.24,0.61
"mu2[253]",0.39,0.39,0.09,0.21,0.56
"mu2[254]",0.58,0.58,0.1,0.38,0.77
"mu2[255]",0.2,0.2,0.08,0.03,0.36
"mu2[256]",0.24,0.24,0.07,0.11,0.37
"mu2[257]",0.01,0.01,0.06,-0.11,0.12
"mu2[258]",-0.15,-0.15,0.05,-0.25,-0.04
"mu2[259]",0.49,0.49,0.09,0.32,0.67
"mu2[260]",-0.11,-0.11,0.04,-0.2,-0.02
"mu2[261]",-0.07,-0.07,0.09,-0.26,0.1
"mu2[262]",0.11,0.11,0.07,-0.03,0.25
"mu2[263]",-0.05,-0.05,0.04,-0.13,0.04
"mu2[264]",-0.07,-0.06,0.09,-0.25,0.1
"mu2[265]",-0.04,-0.04,0.06,-0.16,0.06
"mu2[266]",-0.18,-0.18,0.05,-0.29,-0.08
"mu2[267]",0.1,0.1,0.05,0.01,0.2
"mu2[268]",0.09,0.09,0.07,-0.05,0.23
"mu2[269]",-0.04,-0.04,0.06,-0.17,0.07
"mu2[270]",0.15,0.15,0.05,0.05,0.26
"mu2[271]",-0.24,-0.24,0.06,-0.35,-0.13
"mu2[272]",0.13,0.13,0.08,-0.02,0.28
"mu2[273]",0.12,0.12,0.05,0.03,0.22
"mu2[274]",0.01,0.01,0.05,-0.09,0.1
"mu2[275]",0.09,0.09,0.06,-0.04,0.19
"mu2[276]",0.13,0.13,0.06,0.01,0.24
"mu2[277]",-0.18,-0.18,0.05,-0.27,-0.08
"mu2[278]",0.15,0.15,0.1,-0.06,0.35
"mu2[279]",-0.1,-0.1,0.06,-0.2,0.01
"mu2[280]",-0.06,-0.06,0.05,-0.17,0.05
"mu2[281]",0.07,0.07,0.06,-0.05,0.19
"mu2[282]",-0.09,-0.09,0.05,-0.19,0.01
"mu2[283]",-0.4,-0.4,0.1,-0.6,-0.21
"mu2[284]",-0.09,-0.09,0.05,-0.19,0.01
"mu2[285]",-0.09,-0.09,0.1,-0.29,0.1
"mu2[286]",-0.03,-0.03,0.04,-0.11,0.05
"mu2[287]",-0.1,-0.1,0.09,-0.28,0.07
"mu2[288]",0.21,0.21,0.08,0.06,0.37
"mu2[289]",-0.02,-0.02,0.04,-0.11,0.06
"mu2[290]",0.06,0.06,0.05,-0.04,0.16
"mu2[291]",0,0,0.05,-0.11,0.09
"mu2[292]",-0.01,-0.01,0.04,-0.09,0.08
"mu2[293]",-0.19,-0.19,0.05,-0.29,-0.09
"mu2[294]",-0.1,-0.1,0.06,-0.21,0.01
"mu2[295]",0.16,0.16,0.06,0.04,0.27
"mu2[296]",0.36,0.36,0.08,0.21,0.52
"mu2[297]",0.15,0.15,0.05,0.04,0.25
"mu2[298]",0.26,0.26,0.07,0.12,0.38
"mu2[299]",0.34,0.34,0.07,0.19,0.46
"mu2[300]",0.17,0.17,0.06,0.05,0.27
"mu2[301]",0.15,0.15,0.07,0.01,0.28
"mu2[302]",0.14,0.15,0.06,0.02,0.25
"mu2[303]",0.2,0.2,0.06,0.09,0.31
"mu2[304]",0.18,0.18,0.06,0.07,0.29
"mu2[305]",0.27,0.27,0.09,0.11,0.44
"mu2[306]",0.17,0.17,0.06,0.05,0.29
"mu2[307]",0.36,0.36,0.09,0.19,0.53
"mu2[308]",0.49,0.49,0.09,0.32,0.65
"mu2[309]",0.39,0.39,0.09,0.22,0.56
"mu2[310]",0.3,0.29,0.09,0.12,0.47
"mu2[311]",0.49,0.49,0.09,0.32,0.66
"mu2[312]",0.07,0.07,0.05,-0.03,0.17
"mu2[313]",0.03,0.03,0.09,-0.15,0.21
"mu2[314]",0.04,0.04,0.05,-0.06,0.14
"mu2[315]",0.12,0.12,0.1,-0.08,0.3
"mu2[316]",0.03,0.03,0.05,-0.07,0.13
"mu2[317]",0.05,0.05,0.05,-0.05,0.15
"mu2[318]",0.08,0.08,0.05,-0.02,0.18
"mu2[319]",0.05,0.05,0.05,-0.05,0.16
"mu2[320]",0.16,0.16,0.05,0.06,0.27
"mu2[321]",0.16,0.17,0.06,0.04,0.28
"mu2[322]",0.21,0.21,0.06,0.08,0.33
"mu2[323]",0.23,0.23,0.09,0.04,0.41
"mu2[324]",0.31,0.31,0.08,0.16,0.47
"mu2[325]",0.11,0.11,0.05,0,0.21
"mu2[326]",0.11,0.12,0.06,-0.01,0.23
"mu2[327]",-0.15,-0.15,0.08,-0.31,0.01
"mu2[328]",-0.07,-0.07,0.08,-0.23,0.09
"mu2[329]",-0.08,-0.08,0.06,-0.2,0.04
"mu2[330]",0.32,0.32,0.08,0.15,0.48
"mu2[331]",0.08,0.08,0.06,-0.05,0.2
"mu2[332]",-0.31,-0.31,0.07,-0.44,-0.18
"mu2[333]",0.11,0.11,0.05,0.01,0.2
"mu2[334]",0.15,0.15,0.08,0,0.31
"mu2[335]",-0.23,-0.23,0.05,-0.34,-0.13
"mu2[336]",-0.33,-0.33,0.06,-0.45,-0.2
"mu2[337]",0.02,0.02,0.07,-0.12,0.15
"mu2[338]",0.17,0.17,0.1,-0.03,0.37
"mu2[339]",-0.11,-0.11,0.07,-0.24,0.02
"mu2[340]",-0.06,-0.06,0.06,-0.17,0.04
"mu2[341]",-0.08,-0.08,0.04,-0.16,0
"mu2[342]",-0.2,-0.2,0.05,-0.3,-0.11
"mu2[343]",0.11,0.11,0.06,-0.01,0.21
"mu2[344]",0.07,0.07,0.06,-0.06,0.19
"mu2[345]",-0.13,-0.13,0.07,-0.26,-0.01
"mu2[346]",-0.4,-0.4,0.11,-0.6,-0.2
"mu2[347]",-0.22,-0.22,0.1,-0.42,-0.02
"mu2[348]",-0.06,-0.06,0.06,-0.17,0.06
"mu2[349]",-0.1,-0.1,0.06,-0.21,0.01
"mu2[350]",-0.21,-0.21,0.1,-0.4,-0.01
"mu2[351]",-0.07,-0.07,0.05,-0.17,0.04
"mu2[352]",-0.25,-0.25,0.09,-0.43,-0.08
"mu2[353]",-0.43,-0.43,0.08,-0.58,-0.28
"mu2[354]",0.06,0.06,0.07,-0.07,0.18
"mu2[355]",0.06,0.06,0.07,-0.07,0.18
"mu2[356]",-0.17,-0.17,0.05,-0.26,-0.07
"mu2[357]",-0.37,-0.37,0.07,-0.51,-0.23
"mu2[358]",-0.15,-0.15,0.05,-0.25,-0.04
"mu2[359]",0.08,0.09,0.08,-0.06,0.23
"mu2[360]",-0.26,-0.26,0.06,-0.38,-0.13
"mu2[361]",0.11,0.11,0.09,-0.06,0.27
"mu2[362]",0.15,0.15,0.08,0,0.3
"mu2[363]",-0.1,-0.1,0.06,-0.23,0.02
"mu2[364]",-0.04,-0.04,0.06,-0.15,0.07
"mu2[365]",-0.04,-0.04,0.08,-0.19,0.11
"mu2[366]",-0.33,-0.32,0.07,-0.46,-0.19
"mu2[367]",0.29,0.29,0.08,0.14,0.44
"mu2[368]",0.06,0.06,0.08,-0.09,0.2
"mu2[369]",0.09,0.1,0.07,-0.04,0.24
"mu2[370]",0.07,0.07,0.08,-0.09,0.22
"mu2[371]",0.07,0.07,0.1,-0.13,0.26
"mu2[372]",-0.05,-0.05,0.08,-0.21,0.1
"mu2[373]",-0.06,-0.06,0.11,-0.28,0.14
"mu2[374]",0.03,0.03,0.07,-0.1,0.16
"mu2[375]",0.16,0.16,0.07,0.03,0.3
"mu2[376]",-0.13,-0.13,0.05,-0.24,-0.03
"mu2[377]",0.14,0.14,0.1,-0.04,0.33
"mu2[378]",0.01,0.01,0.07,-0.13,0.15
"mu2[379]",-0.07,-0.07,0.1,-0.26,0.12
"mu2[380]",-0.13,-0.12,0.09,-0.31,0.04
"mu2[381]",0.18,0.18,0.09,0.02,0.35
"mu2[382]",0.01,0.01,0.07,-0.13,0.15
"mu2[383]",0.06,0.06,0.09,-0.13,0.24
"mu2[384]",0.51,0.51,0.12,0.27,0.74
"mu2[385]",0.42,0.42,0.12,0.19,0.65
"mu2[386]",0.35,0.36,0.11,0.14,0.57
"mu2[387]",0.42,0.42,0.1,0.23,0.61
"mu2[388]",0.23,0.24,0.11,0.02,0.45
"mu2[389]",0.08,0.08,0.09,-0.1,0.27
"mu2[390]",0.25,0.25,0.08,0.1,0.38
"mu2[391]",0.16,0.16,0.1,-0.03,0.35
"mu2[392]",0.22,0.22,0.09,0.05,0.39
"mu2[393]",0.31,0.31,0.11,0.1,0.53
"mu2[394]",0.04,0.05,0.12,-0.2,0.27
"mu2[395]",0.11,0.11,0.1,-0.08,0.3
"mu2[396]",0.27,0.27,0.12,0.03,0.5
"mu2[397]",0.19,0.19,0.12,-0.04,0.4
"mu2[398]",0.28,0.28,0.11,0.07,0.49
"mu2[399]",0.12,0.12,0.12,-0.13,0.37
"mu2[400]",0.29,0.29,0.12,0.06,0.51
"mu2[401]",0.35,0.35,0.13,0.08,0.6
"mu2[402]",0.4,0.4,0.13,0.14,0.65
"mu2[403]",0.23,0.23,0.15,-0.06,0.51
"mu2[404]",0.27,0.28,0.13,0.02,0.52
"mu2[405]",0.42,0.42,0.13,0.16,0.67
"mu2[406]",0.13,0.13,0.08,-0.03,0.27
"mu2[407]",0.16,0.16,0.11,-0.06,0.36
"mu2[408]",0.27,0.27,0.11,0.05,0.48
"mu2[409]",0.27,0.26,0.12,0.03,0.5
"mu2[410]",-0.06,-0.06,0.04,-0.14,0.02
"mu2[411]",0.26,0.26,0.11,0.03,0.48
"mu2[412]",0.46,0.46,0.13,0.22,0.7
"mu2[413]",0.23,0.23,0.13,-0.03,0.47
"mu2[414]",0.12,0.12,0.11,-0.11,0.33
"mu2[415]",0.42,0.42,0.12,0.18,0.65
"mu2[416]",0.12,0.13,0.09,-0.06,0.3
"mu2[417]",0.27,0.27,0.13,0.02,0.51
"mu2[418]",0.55,0.55,0.15,0.26,0.85
"mu2[419]",0.27,0.26,0.13,0,0.52
"mu2[420]",0.18,0.17,0.12,-0.07,0.41
"mu2[421]",0.23,0.23,0.12,-0.01,0.46
"mu2[422]",-0.01,-0.01,0.05,-0.11,0.08
"mu2[423]",0.36,0.36,0.14,0.09,0.62
"mu2[424]",0.54,0.54,0.14,0.27,0.81
"mu2[425]",0.47,0.47,0.12,0.23,0.71
"mu2[426]",0.53,0.53,0.14,0.27,0.79
"mu2[427]",0.43,0.42,0.18,0.07,0.77
"mu2[428]",-0.11,-0.11,0.05,-0.22,-0.01
"mu2[429]",-0.06,-0.06,0.08,-0.21,0.1
"mu2[430]",-0.2,-0.2,0.08,-0.35,-0.06
"mu2[431]",-0.21,-0.21,0.08,-0.36,-0.07
"mu2[432]",0,0,0.09,-0.16,0.17
"mu2[433]",-0.03,-0.03,0.07,-0.17,0.09
"mu2[434]",-0.16,-0.16,0.07,-0.3,-0.03
"mu2[435]",0.01,0.01,0.06,-0.1,0.13
"mu2[436]",-0.03,-0.03,0.09,-0.2,0.14
"mu2[437]",0.17,0.17,0.08,0.02,0.32
"mu2[438]",-0.02,-0.02,0.06,-0.15,0.1
"mu2[439]",-0.22,-0.22,0.07,-0.36,-0.09
"mu2[440]",-0.1,-0.1,0.09,-0.27,0.07
"mu2[441]",-0.02,-0.02,0.06,-0.15,0.1
"mu2[442]",-0.31,-0.31,0.08,-0.47,-0.15
"mu2[443]",-0.22,-0.22,0.06,-0.34,-0.1
"mu2[444]",-0.11,-0.11,0.06,-0.24,0.02
"mu2[445]",-0.39,-0.39,0.08,-0.55,-0.23
"mu2[446]",-0.09,-0.09,0.06,-0.21,0.04
"mu2[447]",-0.11,-0.11,0.07,-0.24,0.02
"mu2[448]",-0.15,-0.15,0.07,-0.29,-0.01
"mu2[449]",-0.1,-0.1,0.05,-0.2,0
"mu2[450]",-0.27,-0.27,0.06,-0.39,-0.15
"mu2[451]",-0.22,-0.22,0.06,-0.32,-0.11
"mu2[452]",-0.06,-0.06,0.09,-0.24,0.1
"mu2[453]",-0.17,-0.17,0.05,-0.27,-0.07
"mu2[454]",-0.22,-0.22,0.05,-0.32,-0.11
"mu2[455]",-0.17,-0.17,0.06,-0.28,-0.06
"mu2[456]",-0.12,-0.12,0.05,-0.22,-0.01
"mu2[457]",-0.13,-0.13,0.05,-0.22,-0.04
"mu2[458]",-0.46,-0.46,0.09,-0.63,-0.28
"mu2[459]",-0.18,-0.18,0.09,-0.36,-0.01
"mu2[460]",-0.14,-0.14,0.05,-0.23,-0.05
"mu2[461]",-0.16,-0.16,0.05,-0.25,-0.07
"mu2[462]",0.21,0.21,0.08,0.05,0.37
"mu2[463]",-0.11,-0.11,0.04,-0.2,-0.02
"mu2[464]",-0.26,-0.26,0.05,-0.36,-0.16
"mu2[465]",0.05,0.05,0.07,-0.09,0.2
"mu2[466]",-0.27,-0.27,0.05,-0.38,-0.17
"mu2[467]",-0.14,-0.14,0.04,-0.22,-0.06
"mu2[468]",-0.29,-0.29,0.05,-0.4,-0.18
"mu2[469]",0.05,0.05,0.08,-0.1,0.2
"mu2[470]",-0.22,-0.22,0.06,-0.33,-0.1
"mu2[471]",-0.15,-0.15,0.04,-0.23,-0.07
