"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu1[44]",0.02,0.01,0.03,-0.05,0.08
"mu1[45]",-0.58,-0.58,0.06,-0.7,-0.46
"mu1[46]",0.02,0.02,0.07,-0.12,0.16
"mu1[47]",-0.56,-0.56,0.12,-0.8,-0.31
"mu1[48]",0.09,0.09,0.15,-0.21,0.38
"mu1[49]",-0.3,-0.3,0.16,-0.62,0.02
"mu1[50]",0.5,0.51,0.15,0.21,0.8
"mu1[51]",0.42,0.42,0.16,0.11,0.73
"mu1[52]",0.46,0.46,0.14,0.19,0.73
"mu1[53]",-1.16,-1.17,0.09,-1.33,-1
"mu1[54]",0.69,0.69,0.15,0.4,0.98
"mu1[55]",0.11,0.11,0.14,-0.17,0.38
"mu1[56]",0.56,0.56,0.15,0.25,0.84
"mu1[57]",0.72,0.72,0.2,0.32,1.12
"mu1[58]",-0.03,-0.03,0.05,-0.13,0.06
"mu1[59]",-0.74,-0.74,0.06,-0.86,-0.61
"mu1[60]",-1.47,-1.47,0.08,-1.61,-1.32
"mu1[61]",0.69,0.69,0.05,0.59,0.79
"mu1[62]",0.17,0.17,0.04,0.09,0.26
"mu1[63]",-0.51,-0.5,0.07,-0.64,-0.37
"mu1[64]",-0.66,-0.66,0.06,-0.79,-0.54
"mu1[65]",-0.61,-0.61,0.05,-0.72,-0.5
"mu1[66]",-0.01,-0.01,0.06,-0.12,0.11
"mu1[67]",-1.29,-1.29,0.07,-1.42,-1.15
"mu1[68]",-0.26,-0.26,0.07,-0.4,-0.13
"mu1[69]",-0.73,-0.73,0.06,-0.85,-0.6
"mu1[70]",0.16,0.16,0.04,0.07,0.25
"mu1[71]",-0.35,-0.35,0.05,-0.46,-0.26
"mu1[72]",-0.96,-0.96,0.07,-1.08,-0.83
"mu1[73]",-0.66,-0.66,0.06,-0.77,-0.54
"mu1[74]",-0.33,-0.33,0.07,-0.46,-0.19
"mu1[75]",-0.9,-0.9,0.07,-1.04,-0.76
"mu1[76]",-0.37,-0.37,0.06,-0.49,-0.24
"mu1[77]",0.18,0.18,0.05,0.08,0.27
"mu1[78]",-0.12,-0.12,0.08,-0.29,0.05
"mu1[79]",0.13,0.13,0.08,-0.01,0.28
"mu1[80]",0.2,0.2,0.06,0.09,0.32
"mu1[81]",-0.78,-0.78,0.08,-0.94,-0.62
"mu1[82]",-0.49,-0.49,0.06,-0.61,-0.39
"mu1[83]",-0.58,-0.58,0.06,-0.69,-0.47
"mu1[84]",-0.03,-0.03,0.08,-0.17,0.12
"mu1[85]",-0.63,-0.63,0.06,-0.75,-0.5
"mu1[86]",-1.36,-1.36,0.09,-1.53,-1.18
"mu1[87]",-1.01,-1,0.09,-1.18,-0.83
"mu1[88]",0.5,0.5,0.06,0.38,0.62
"mu1[89]",-0.65,-0.65,0.06,-0.76,-0.54
"mu1[90]",-0.11,-0.11,0.05,-0.2,-0.02
"mu1[91]",0.09,0.09,0.04,0.01,0.18
"mu1[92]",0.53,0.53,0.04,0.45,0.61
"mu1[93]",-0.45,-0.45,0.09,-0.62,-0.28
"mu1[94]",-0.89,-0.89,0.09,-1.07,-0.72
"mu1[95]",-0.14,-0.14,0.07,-0.29,0
