"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"epst.p[8, 10]",-4.42,-4.04,3.21,-11.8,1.12
"epst.p[9, 10]",-2.74,-2.56,1.37,-6.04,-0.55
"epst.p[1, 11]",1.67,-0.58,5.19,-3.44,15.29
"epst.p[2, 11]",-7.44,-6.41,4.86,-18.92,-1.15
"epst.p[3, 11]",-7.69,-6.68,3.86,-17.24,-2.8
"epst.p[4, 11]",-1.15,-1.15,0.5,-2.11,-0.18
"epst.p[5, 11]",-0.8,-0.79,0.63,-2.07,0.44
"epst.p[6, 11]",-1.76,-1.77,0.68,-3.1,-0.33
"epst.p[7, 11]",-0.73,-1.53,3.18,-4.93,8.72
"epst.p[8, 11]",-4.25,-4.34,1.67,-7.4,-1.3
"epst.p[9, 11]",-0.26,-0.95,3.38,-4.64,9.96
"epst.p[1, 12]",4.68,3.29,5.47,-1.65,18.34
"epst.p[2, 12]",-4.02,-3.84,1.19,-6.8,-2.21
"epst.p[3, 12]",-2.04,-2.04,0.45,-2.96,-1.18
"epst.p[4, 12]",1.65,1.49,0.95,0.38,4.1
"epst.p[5, 12]",3.75,3.43,1.69,1.47,8.17
"epst.p[6, 12]",-1.23,-1.31,0.92,-2.63,0.55
"epst.p[7, 12]",-1.9,-2.31,1.2,-3.51,0.07
"epst.p[8, 12]",1.88,1.45,1.99,-0.5,7.32
"epst.p[9, 12]",-3.08,-2.95,1.26,-5.91,-1.01
"epst.p[1, 13]",2.55,0.22,5.32,-2.45,16.61
"epst.p[2, 13]",-7.67,-6.74,4.52,-18.64,-1.63
"epst.p[3, 13]",-8.08,-7.3,3.93,-18.02,-2.87
"epst.p[4, 13]",1.84,1.71,0.85,0.56,3.91
"epst.p[5, 13]",-0.07,-0.07,0.38,-0.82,0.69
"epst.p[6, 13]",1.6,0.97,2.04,-0.36,7.21
"epst.p[7, 13]",6.02,5.12,3.61,1.34,15.12
"epst.p[8, 13]",-3.8,-4,1.39,-6.29,-1.32
"epst.p[9, 13]",-1.76,-2.01,2.81,-5.11,5.06
"epst.p[1, 14]",7.84,6.83,4.89,1.5,20.13
"epst.p[2, 14]",-3.23,-3.16,0.64,-4.55,-2.13
"epst.p[3, 14]",-1.54,-1.54,0.3,-2.15,-0.97
"epst.p[4, 14]",1.33,1.14,0.89,0.1,3.52
"epst.p[5, 14]",3.42,3.07,1.78,1.14,7.83
"epst.p[6, 14]",5.16,4.68,2.24,2.14,10.61
"epst.p[7, 14]",-1.79,-2.3,1.18,-3.29,0.14
"epst.p[8, 14]",-4.86,-4.69,1.07,-7.41,-3.18
"epst.p[9, 14]",-3.26,-3.22,0.64,-4.62,-2.15
"epst.p[1, 15]",-0.97,-0.99,0.28,-1.47,-0.4
"epst.p[2, 15]",-8.4,-7.28,4.51,-19.9,-2.75
"epst.p[3, 15]",-8.46,-7.63,3.89,-18.68,-3.54
"epst.p[4, 15]",-1.05,-1.06,0.3,-1.63,-0.44
"epst.p[5, 15]",0.19,0.17,0.32,-0.4,0.86
"epst.p[6, 15]",1.3,1.25,0.66,0.62,2.09
"epst.p[7, 15]",-7.03,-6.17,3.47,-15.9,-2.59
"epst.p[8, 15]",-2.96,-3.25,1.08,-4.58,-1.09
"epst.p[9, 15]",-7.71,-6.69,4.18,-18.76,-2.32
"epst.p[1, 16]",6.61,5.62,5.16,-0.24,18.78
"epst.p[2, 16]",-2.66,-2.63,0.59,-3.9,-1.65
"epst.p[3, 16]",-0.81,-0.82,0.34,-1.46,-0.15
"epst.p[4, 16]",-0.86,-0.88,0.31,-1.42,-0.21
"epst.p[5, 16]",-0.31,-0.39,0.72,-1.47,1.31
"epst.p[6, 16]",5.12,4.56,2.33,2.09,11.25
"epst.p[7, 16]",-1.78,-2.47,1.46,-3.55,0.72
"epst.p[8, 16]",-2.92,-2.89,0.52,-3.99,-1.99
"epst.p[9, 16]",-2.29,-2.26,0.51,-3.39,-1.4
"epst.p[1, 17]",6.61,5.53,5.22,0.18,19.43
"epst.p[2, 17]",-8.18,-7.33,4.23,-18.45,-2.49
"epst.p[3, 17]",-8.46,-7.59,3.81,-18.09,-3.54
"epst.p[4, 17]",-0.84,-0.85,0.34,-1.46,-0.15
"epst.p[5, 17]",-1.27,-1.28,0.36,-1.93,-0.52
"epst.p[6, 17]",4.37,3.83,2.24,1.44,9.76
"epst.p[7, 17]",-3.43,-3.32,1.29,-6.34,-1.33
"epst.p[8, 17]",-2.75,-3.24,1.39,-4.65,-0.28
"epst.p[9, 17]",-7.79,-6.66,4.34,-18.54,-2.33
"epst.p[1, 18]",NA,NA,NA,NA,NA
"epst.p[2, 18]",NA,NA,NA,NA,NA
"epst.p[3, 18]",NA,NA,NA,NA,NA
"epst.p[4, 18]",NA,NA,NA,NA,NA
"epst.p[5, 18]",NA,NA,NA,NA,NA
"epst.p[6, 18]",NA,NA,NA,NA,NA
"epst.p[7, 18]",NA,NA,NA,NA,NA
