"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu3[1]",0.02,0.02,0.04,-0.07,0.1
"mu3[2]",0.13,0.13,0.06,0.02,0.24
"mu3[3]",0.28,0.28,0.08,0.12,0.44
"mu3[4]",0.29,0.29,0.09,0.13,0.45
"mu3[5]",-0.06,-0.06,0.06,-0.18,0.05
"mu3[6]",-0.07,-0.07,0.06,-0.18,0.04
"mu3[7]",0.07,0.07,0.06,-0.04,0.18
"mu3[8]",-0.14,-0.14,0.06,-0.25,-0.03
"mu3[9]",-0.1,-0.09,0.05,-0.19,0
"mu3[10]",0.03,0.03,0.07,-0.11,0.17
"mu3[11]",0.55,0.55,0.07,0.4,0.69
"mu3[12]",-0.27,-0.26,0.04,-0.35,-0.18
"mu3[13]",0.51,0.51,0.07,0.37,0.65
"mu3[14]",0.38,0.38,0.07,0.24,0.53
"mu3[15]",-0.06,-0.06,0.04,-0.13,0.02
"mu3[16]",0.01,0,0.05,-0.1,0.11
"mu3[17]",-0.3,-0.3,0.06,-0.41,-0.19
"mu3[18]",0.52,0.52,0.07,0.37,0.66
"mu3[19]",-0.29,-0.29,0.06,-0.4,-0.18
"mu3[20]",-0.25,-0.25,0.05,-0.35,-0.15
"mu3[21]",0.56,0.56,0.07,0.41,0.7
"mu3[22]",0.31,0.31,0.08,0.15,0.47
"mu3[23]",0.02,0.02,0.05,-0.08,0.11
"mu3[24]",-0.1,-0.1,0.07,-0.24,0.04
"mu3[25]",0.4,0.4,0.07,0.26,0.54
"mu3[26]",-0.03,-0.03,0.05,-0.13,0.07
"mu3[27]",-0.08,-0.08,0.04,-0.17,0
"mu3[28]",-0.02,-0.02,0.05,-0.12,0.07
"mu3[29]",0.02,0.02,0.05,-0.08,0.11
"mu3[30]",-0.12,-0.12,0.06,-0.24,0.01
"mu3[31]",-0.04,-0.04,0.05,-0.14,0.05
"mu3[32]",-0.05,-0.05,0.05,-0.14,0.05
"mu3[33]",-0.29,-0.29,0.06,-0.41,-0.18
"mu3[34]",0.65,0.65,0.07,0.5,0.79
"mu3[35]",-0.12,-0.12,0.05,-0.21,-0.02
"mu3[36]",-0.24,-0.24,0.05,-0.34,-0.15
"mu3[37]",-0.11,-0.11,0.05,-0.21,-0.02
"mu3[38]",-0.23,-0.23,0.05,-0.32,-0.13
"mu3[39]",0.48,0.48,0.08,0.33,0.63
"mu3[40]",0.03,0.03,0.04,-0.06,0.11
"mu3[41]",0,0,0.05,-0.1,0.09
"mu3[42]",0,0,0.04,-0.08,0.07
"mu3[43]",-0.17,-0.17,0.07,-0.31,-0.03
"mu3[44]",-0.01,-0.01,0.04,-0.09,0.07
"mu3[45]",0.59,0.59,0.07,0.45,0.72
"mu3[46]",0.6,0.6,0.07,0.46,0.75
"mu3[47]",0.95,0.95,0.13,0.69,1.2
"mu3[48]",0.65,0.66,0.17,0.31,1.01
"mu3[49]",1.28,1.29,0.19,0.92,1.65
"mu3[50]",0.47,0.48,0.16,0.15,0.79
"mu3[51]",0.52,0.53,0.18,0.17,0.87
"mu3[52]",0.58,0.58,0.15,0.28,0.88
"mu3[53]",0.3,0.31,0.08,0.15,0.46
"mu3[54]",0.56,0.56,0.16,0.24,0.88
"mu3[55]",0.73,0.73,0.15,0.43,1.03
"mu3[56]",0.69,0.7,0.16,0.37,1.02
"mu3[57]",1.13,1.13,0.23,0.69,1.58
"mu3[58]",-0.28,-0.28,0.05,-0.38,-0.18
"mu3[59]",-0.17,-0.17,0.06,-0.29,-0.06
"mu3[60]",0.32,0.32,0.08,0.17,0.47
"mu3[61]",-0.07,-0.07,0.04,-0.15,0.02
"mu3[62]",-0.16,-0.16,0.05,-0.26,-0.05
"mu3[63]",0.33,0.33,0.08,0.18,0.47
"mu3[64]",-0.16,-0.16,0.06,-0.26,-0.05
"mu3[65]",-0.16,-0.17,0.06,-0.28,-0.06
"mu3[66]",-0.07,-0.07,0.07,-0.21,0.06
"mu3[67]",0.48,0.49,0.07,0.34,0.62
"mu3[68]",-0.31,-0.31,0.05,-0.41,-0.21
"mu3[69]",-0.19,-0.19,0.07,-0.33,-0.06
"mu3[70]",-0.14,-0.14,0.05,-0.24,-0.04
"mu3[71]",-0.17,-0.17,0.06,-0.29,-0.05
"mu3[72]",0.46,0.46,0.08,0.3,0.61
"mu3[73]",-0.15,-0.16,0.05,-0.26,-0.06
"mu3[74]",-0.26,-0.26,0.07,-0.4,-0.12
"mu3[75]",-0.09,-0.09,0.07,-0.23,0.05
"mu3[76]",-0.08,-0.09,0.07,-0.22,0.05
"mu3[77]",-0.02,-0.02,0.05,-0.12,0.08
"mu3[78]",0.33,0.33,0.08,0.18,0.48
"mu3[79]",0.31,0.31,0.08,0.15,0.46
"mu3[80]",-0.32,-0.32,0.06,-0.44,-0.21
"mu3[81]",0.21,0.21,0.09,0.03,0.39
"mu3[82]",-0.17,-0.17,0.06,-0.29,-0.04
"mu3[83]",-0.15,-0.15,0.06,-0.26,-0.03
"mu3[84]",0.34,0.34,0.07,0.2,0.48
"mu3[85]",-0.15,-0.15,0.06,-0.28,-0.03
"mu3[86]",0.36,0.36,0.1,0.16,0.56
"mu3[87]",0.15,0.14,0.1,-0.05,0.34
"mu3[88]",-0.37,-0.37,0.07,-0.5,-0.25
"mu3[89]",-0.32,-0.32,0.05,-0.42,-0.22
"mu3[90]",-0.04,-0.04,0.04,-0.12,0.04
"mu3[91]",-0.04,-0.04,0.04,-0.13,0.04
"mu3[92]",-0.08,-0.08,0.04,-0.16,0
"mu3[93]",0.31,0.31,0.08,0.16,0.45
"mu3[94]",0.17,0.17,0.1,-0.02,0.37
"mu3[95]",0.16,0.16,0.08,-0.01,0.32
"mu3[96]",0.46,0.46,0.1,0.25,0.65
"mu3[97]",0.84,0.84,0.12,0.61,1.06
"mu3[98]",0.04,0.04,0.05,-0.06,0.14
"mu3[99]",0.17,0.17,0.1,-0.02,0.36
"mu3[100]",0.27,0.27,0.1,0.07,0.46
"mu3[101]",0,0,0.06,-0.12,0.12
"mu3[102]",-0.04,-0.04,0.06,-0.16,0.08
"mu3[103]",0.57,0.57,0.09,0.4,0.74
"mu3[104]",1.03,1.03,0.12,0.79,1.27
"mu3[105]",0.17,0.17,0.07,0.03,0.31
"mu3[106]",0.33,0.33,0.09,0.14,0.51
"mu3[107]",0.09,0.09,0.05,-0.01,0.2
"mu3[108]",-0.14,-0.13,0.08,-0.29,0.01
"mu3[109]",0.11,0.1,0.06,-0.02,0.23
"mu3[110]",0.19,0.19,0.06,0.07,0.31
"mu3[111]",0.11,0.12,0.08,-0.04,0.27
"mu3[112]",0.02,0.02,0.07,-0.12,0.15
"mu3[113]",-0.04,-0.04,0.1,-0.24,0.16
"mu3[114]",-0.1,-0.1,0.08,-0.27,0.05
"mu3[115]",0.43,0.43,0.1,0.23,0.62
"mu3[116]",-0.19,-0.2,0.07,-0.33,-0.06
"mu3[117]",0.01,0.01,0.07,-0.13,0.15
"mu3[118]",0.45,0.45,0.07,0.3,0.59
"mu3[119]",0.41,0.42,0.08,0.25,0.56
"mu3[120]",0.53,0.53,0.09,0.35,0.7
"mu3[121]",-0.27,-0.27,0.05,-0.37,-0.17
"mu3[122]",-0.09,-0.09,0.04,-0.17,0
"mu3[123]",-0.1,-0.1,0.04,-0.18,-0.02
"mu3[124]",-0.34,-0.34,0.05,-0.43,-0.24
"mu3[125]",0.2,0.2,0.07,0.05,0.34
