"","x"
"1",-0.587140832678865
"2",-0.326832603093011
"3",-0.62517817040093
"4",-0.9853845417169
"5",-0.848454514560218
"6",-1.22987415218749
"7",-0.435722447372517
"8",-0.871376170637394
"9",-1.53564137482205
"10",-0.825630219454521
"11",-0.449960290366814
"12",-1.00315647337744
"13",-0.515239739520028
"14",-0.657244777182606
"15",-0.297657903876478
"16",-0.975203106038906
"17",-0.55094750643791
"18",-0.519142162946706
"19",-0.7758237993289
"20",-0.619535595050879
"21",-1.4798015329703
"22",-0.936117685517141
"23",-0.922870923730068
"24",-0.547256107090754
"25",-1.29763518760288
"26",-0.607469525379013
"27",-0.672548665939721
"28",-0.45691920366544
"29",-0.414713029869178
"30",-0.0957373744215281
"31",-0.681793829412643
"32",-0.517953801217319
"33",-0.535314792326287
"34",-0.341714192379974
"35",-0.855650657329476
"36",-0.294211443166971
"37",-0.613353779562507
"38",-0.937969501164457
"39",-0.201801099119704
"40",-1.16802206491928
"41",-0.703089356400168
"42",-2.02085998483642
"43",-1.0534175406268
"44",-1.09752762684187
"45",-0.825650555776263
"46",-0.556613530741262
"47",-0.598766030894332
"48",-0.548576102252954
"49",-0.82634481330105
"50",-0.701899796609727
"51",-1.18464137467849
"52",-1.3464207909581
"53",-1.37202810960005
"54",-1.08929412768879
"55",-1.08607998615177
"56",-1.09456063942163
"57",-1.00839101997381
"58",-1.4172873824872
"59",-2.00872048587901
"60",-1.30793494639943
"61",-1.00562724397253
"62",-0.993331465381141
"63",-0.98998506633282
"64",-0.94723959406141
"65",-1.76686004525906
"66",-1.59975750736301
"67",-1.22111598972945
"68",-1.31605491590112
"69",-1.54383475239892
"70",-1.8433486850549
"71",-2.1508275234655
"72",-1.99174935871828
"73",-2.32038369268976
"74",-3.19749269029251
"75",-1.33876438457769
"76",-1.30085155808246
"77",-0.698702781029853
"78",-1.91885001728767
"79",-2.61020526168422
"80",-1.79020727997469
"81",-1.64430411440977
"82",-1.81588647538971
"83",-1.35834508534151
"84",-1.67216832754881
"85",-1.53122039365692
"86",-1.58670221115835
"87",-1.19843307037792
"88",-2.06194539857976
"89",-1.26173115997192
"90",-1.19418925718677
"91",-1.34105560329506
"92",-1.45061043713852
