"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[106]",0.06,0.06,0.25,-0.47,0.52
"eta1[107]",1.91,1.87,0.55,0.93,3.1
"eta1[108]",-1.94,-1.91,0.42,-2.84,-1.18
"eta1[109]",2.39,2.34,0.74,1,3.95
"eta1[110]",2.3,2.27,0.29,1.77,2.92
"eta1[111]",1.08,1.09,0.26,0.57,1.58
"eta1[112]",2.43,2.42,0.17,2.13,2.79
"eta1[113]",2.26,2.26,0.19,1.91,2.64
"eta1[114]",-0.63,-0.6,0.58,-1.87,0.46
"eta1[115]",2.74,2.71,0.52,1.82,3.86
"eta1[116]",-0.93,-0.92,0.37,-1.69,-0.2
"eta1[117]",-2.3,-2.27,0.68,-3.75,-1.02
"eta1[118]",3.38,3.32,0.92,1.65,5.35
"eta1[119]",0.18,0.17,0.15,-0.09,0.51
"eta1[120]",-0.68,-0.71,0.57,-1.74,0.55
"eta1[121]",-1.49,-1.43,1.12,-3.88,0.61
"eta1[122]",-0.09,-0.08,0.2,-0.53,0.29
"eta1[123]",1.67,1.64,0.59,0.62,2.92
"eta1[124]",0.6,0.6,0.27,0.08,1.14
"eta1[125]",1.04,1.04,0.15,0.75,1.33
"eta1[126]",0.67,0.67,0.34,0,1.33
"eta1[127]",1.44,1.42,0.38,0.77,2.26
"eta1[128]",-1.77,-1.74,0.49,-2.82,-0.89
"eta1[129]",-0.3,-0.29,0.12,-0.53,-0.07
"eta1[130]",-1.27,-1.26,0.47,-2.26,-0.37
"eta1[131]",1.02,1.01,0.08,0.88,1.18
"eta1[132]",0.69,0.69,0.3,0.12,1.3
"eta1[133]",-0.42,-0.36,0.63,-1.77,0.73
"eta1[134]",-1.43,-1.41,0.7,-2.96,-0.12
"eta1[135]",-1.67,-1.66,0.38,-2.45,-0.94
"eta1[136]",3.33,3.3,0.73,2.05,4.85
"eta1[137]",2.6,2.58,0.4,1.83,3.44
"eta1[138]",-0.37,-0.37,0.11,-0.61,-0.17
"eta1[139]",1.98,1.94,0.69,0.68,3.48
"eta1[140]",1.24,1.23,0.29,0.73,1.83
"eta1[141]",-1.9,-1.88,0.31,-2.55,-1.33
"eta1[142]",5.6,5.52,1.02,3.78,7.8
"eta1[143]",-1.08,-1.08,0.12,-1.31,-0.85
"eta1[144]",-0.22,-0.22,0.04,-0.28,-0.14
"eta1[145]",2.99,2.93,0.68,1.78,4.46
"eta1[146]",2.05,2.02,0.41,1.32,2.92
"eta1[147]",-0.36,-0.37,0.54,-1.44,0.7
"eta1[148]",2.74,2.68,0.78,1.33,4.41
"eta1[149]",1.31,1.3,0.27,0.78,1.84
"eta1[150]",2.41,2.36,0.75,1.01,4.01
"eta1[151]",1.46,1.42,0.46,0.63,2.44
"eta1[152]",2.57,2.54,0.45,1.76,3.55
"eta1[153]",-0.12,-0.11,0.04,-0.19,-0.04
"eta1[154]",-2.4,-2.39,0.48,-3.38,-1.52
"eta1[155]",-1.57,-1.59,0.42,-2.31,-0.7
"eta1[156]",0.7,0.7,0.23,0.28,1.16
"eta1[157]",1.68,1.67,0.44,0.83,2.6
"eta1[158]",2.06,2.06,0.38,1.34,2.82
"eta1[159]",1.49,1.49,0.33,0.88,2.16
"eta1[160]",1.82,1.81,0.14,1.57,2.12
"eta1[161]",2.53,2.52,0.61,1.37,3.74
"eta1[162]",0.37,0.37,0.82,-1.21,1.97
"eta1[163]",1.11,1.11,0.4,0.37,1.93
"eta1[164]",-1.24,-1.22,0.54,-2.41,-0.2
"eta1[165]",2.48,2.46,0.33,1.88,3.19
"eta1[166]",0.39,0.4,0.58,-0.77,1.54
"eta1[167]",0.63,0.62,0.1,0.45,0.84
"eta1[168]",4.17,4.07,1.47,1.43,7.28
"eta1[169]",1.15,1.15,0.11,0.91,1.35
"eta1[170]",-1.3,-1.31,0.26,-1.81,-0.79
"eta1[171]",1.57,1.57,0.04,1.49,1.64
"eta1[172]",0.9,0.87,0.34,0.3,1.62
"eta1[173]",-2,-1.96,0.77,-3.65,-0.55
"eta1[174]",-1.17,-1.14,1.08,-3.35,0.93
"eta1[175]",-2.44,-2.42,0.35,-3.19,-1.81
"eta1[176]",1.37,1.37,0.07,1.24,1.52
"eta1[177]",0.95,0.96,0.3,0.3,1.53
"eta1[178]",-0.2,-0.18,0.72,-1.73,1.17
"eta1[179]",0.56,0.55,0.45,-0.29,1.48
"eta1[180]",3.06,3.02,0.61,1.98,4.37
"eta1[181]",0.68,0.67,0.28,0.17,1.26
"eta1[182]",-1.66,-1.65,0.41,-2.45,-0.85
"eta1[183]",-0.91,-0.92,0.39,-1.69,-0.16
"eta1[184]",-1.41,-1.39,0.65,-2.75,-0.26
"eta1[185]",0.24,0.26,0.41,-0.64,1.02
"eta1[186]",1.99,1.95,0.57,0.91,3.22
"eta1[187]",1.01,1.04,0.32,0.34,1.61
"eta1[188]",-2.16,-2.13,0.98,-4.2,-0.41
"eta1[189]",4.43,4.39,0.73,3.08,6
"eta1[190]",0.84,0.84,0.28,0.32,1.42
"eta1[191]",1.31,1.31,0.41,0.51,2.15
"eta1[192]",3.4,3.35,0.61,2.31,4.72
"eta1[193]",1.02,1.03,0.32,0.33,1.64
"eta1[194]",-0.74,-0.72,0.56,-1.86,0.35
"eta1[195]",1.38,1.37,0.08,1.23,1.54
"eta1[196]",0.8,0.82,0.32,0.12,1.39
"eta1[197]",0.64,0.66,0.3,-0.02,1.21
"eta1[198]",-1.37,-1.36,0.32,-2.06,-0.75
"eta1[199]",-1.09,-1.06,0.52,-2.21,-0.11
"eta1[200]",-0.99,-0.95,0.69,-2.48,0.3
"eta1[201]",-1.41,-1.39,0.64,-2.81,-0.19
"eta1[202]",0.75,0.76,0.11,0.54,0.96
"eta1[203]",-0.08,-0.05,0.39,-0.92,0.65
"eta1[204]",1.22,1.23,0.58,0.09,2.37
"eta1[205]",-1,-0.97,0.64,-2.33,0.13
"eta1[206]",-1.76,-1.76,1.23,-4.09,0.71
"eta1[207]",1.83,1.84,0.52,0.79,2.85
"eta1[208]",0.84,0.84,0.38,0.08,1.59
"eta1[209]",-0.52,-0.49,0.55,-1.69,0.48
"eta1[210]",-2.65,-2.62,1.13,-5.08,-0.49
"eta1[211]",0.16,0.17,0.26,-0.4,0.65
"eta1[212]",-2.58,-2.52,0.95,-4.61,-0.79
"eta1[213]",-4.91,-4.84,1.19,-7.47,-2.71
"eta1[214]",-6.17,-6.05,1.9,-10.26,-2.74
"eta1[215]",0.57,0.56,0.5,-0.41,1.58
"eta1[216]",-0.9,-0.85,0.72,-2.44,0.46
"eta1[217]",-3.35,-3.3,0.8,-5.07,-1.9
"eta1[218]",2.64,2.61,0.7,1.32,4.15
"eta1[219]",-2.54,-2.47,2.08,-7.05,1.42
"eta1[220]",0.47,0.5,0.65,-0.9,1.71
"eta1[221]",0.95,0.99,0.61,-0.33,2.03
"eta1[222]",-0.85,-0.81,1.03,-3.06,1.09
"eta1[223]",-1.1,-1.05,0.67,-2.53,0.15
"eta1[224]",0.47,0.48,0.49,-0.57,1.42
"eta1[225]",0.02,0.04,0.33,-0.69,0.65
"eta1[226]",-1.58,-1.53,0.79,-3.27,-0.1
"eta1[227]",-2.23,-2.21,0.49,-3.29,-1.3
"eta1[228]",0.94,0.95,0.59,-0.23,2.07
"eta1[229]",-0.34,-0.32,0.29,-0.95,0.2
"eta1[230]",-2.3,-2.25,0.99,-4.43,-0.44
"eta1[231]",-4.37,-4.26,1.64,-7.91,-1.39
"eta1[232]",-3.03,-2.99,0.91,-4.99,-1.33
"eta1[233]",-0.12,-0.1,0.47,-1.11,0.77
"eta1[234]",2.51,2.47,0.48,1.65,3.55
"eta1[235]",1.34,1.34,0.44,0.52,2.21
"eta1[236]",2.47,2.43,0.6,1.39,3.77
"eta1[237]",4.41,4.32,0.99,2.62,6.52
"eta1[238]",3.31,3.26,0.85,1.73,5.12
"eta1[239]",-1.66,-1.62,0.42,-2.56,-0.91
"eta1[240]",4.14,4.1,0.65,2.94,5.53
"eta1[241]",2.53,2.52,0.57,1.5,3.7
"eta1[242]",-0.64,-0.6,0.5,-1.72,0.27
"eta1[243]",1.22,1.21,0.22,0.78,1.66
"eta1[244]",-0.63,-0.61,0.23,-1.11,-0.23
"eta1[245]",1.5,1.47,0.53,0.52,2.62
"eta1[246]",1.94,1.92,0.47,1.11,2.9
"eta1[247]",1.68,1.68,0.15,1.4,1.98
"eta1[248]",0.96,0.95,0.5,0.04,2
"eta1[249]",0.27,0.26,0.91,-1.52,2.04
"eta1[250]",4.09,4.04,0.6,3,5.39
"eta1[251]",1.37,1.37,0.18,1,1.72
"eta1[252]",4.82,4.78,1.34,2.42,7.58
"eta1[253]",1.42,1.42,0.13,1.16,1.69
"eta1[254]",1.37,1.35,0.36,0.69,2.15
"eta1[255]",4.83,4.75,0.91,3.19,6.79
"eta1[256]",-1.36,-1.34,0.22,-1.83,-0.94
"eta1[257]",1.76,1.77,0.3,1.1,2.33
"eta1[258]",-0.33,-0.32,0.37,-1.12,0.37
"eta1[259]",3.14,3.08,0.67,1.94,4.59
"eta1[260]",-1.23,-1.21,0.23,-1.72,-0.79
"eta1[261]",2.52,2.52,0.26,2.05,3.04
"eta1[262]",2.48,2.44,0.52,1.57,3.6
"eta1[263]",0.9,0.9,0.11,0.68,1.1
"eta1[264]",2.35,2.32,1.04,0.35,4.51
"eta1[265]",-2.05,-2.02,0.47,-3.05,-1.19
"eta1[266]",0.65,0.64,0.54,-0.35,1.7
"eta1[267]",-1.38,-1.38,0.29,-1.99,-0.85
"eta1[268]",0.49,0.48,0.14,0.22,0.79
"eta1[269]",-1.04,-1,0.78,-2.71,0.38
"eta1[270]",0.9,0.91,0.34,0.24,1.57
"eta1[271]",-3.5,-3.43,0.93,-5.53,-1.84
"eta1[272]",2.7,2.64,0.77,1.32,4.37
"eta1[273]",3.23,3.23,0.45,2.4,4.09
"eta1[274]",0.12,0.13,0.14,-0.18,0.38
"eta1[275]",1.41,1.41,0.28,0.86,1.97
"eta1[276]",-0.57,-0.51,0.72,-2.09,0.73
"eta1[277]",0.68,0.68,0.3,0.09,1.27
"eta1[278]",0,0,0.39,-0.76,0.78
"eta1[279]",2.12,2.12,0.87,0.48,3.87
"eta1[280]",0.35,0.36,0.68,-1.04,1.67
"eta1[281]",-5.24,-5.14,1.52,-8.53,-2.49
"eta1[282]",2.19,2.16,1,0.32,4.36
"eta1[283]",-0.22,-0.18,0.61,-1.54,0.93
"eta1[284]",-0.03,-0.02,0.38,-0.82,0.7
"eta1[285]",-1.19,-1.16,0.35,-1.94,-0.56
"eta1[286]",-0.02,0.01,0.41,-0.89,0.7
"eta1[287]",1.52,1.49,0.42,0.73,2.41
"eta1[288]",0.83,0.83,0.24,0.36,1.3
"eta1[289]",0.13,0.13,0.12,-0.1,0.38
"eta1[290]",-1.98,-1.95,0.51,-3.07,-1.02
"eta1[291]",0.73,0.74,0.52,-0.31,1.75
"eta1[292]",-0.03,-0.02,0.4,-0.83,0.75
"eta1[293]",0.25,0.24,0.22,-0.15,0.73
"eta1[294]",-1.76,-1.71,0.58,-3,-0.71
"eta1[295]",0.5,0.52,0.28,-0.1,0.99
"eta1[296]",1.71,1.67,0.58,0.67,2.96
"eta1[297]",0.57,0.55,0.14,0.32,0.87
"eta1[298]",3.35,3.31,0.6,2.29,4.64
"eta1[299]",-1.08,-1.07,0.54,-2.19,-0.04
"eta1[300]",3.07,3.05,0.58,2.06,4.28
"eta1[301]",1.69,1.7,0.35,0.99,2.37
"eta1[302]",-0.24,-0.21,0.33,-0.95,0.36
"eta1[303]",3.35,3.31,0.56,2.34,4.54
"eta1[304]",1.11,1.11,0.41,0.27,1.91
"eta1[305]",0.81,0.8,0.79,-0.66,2.33
"eta1[306]",-0.58,-0.55,0.31,-1.25,-0.01
"eta1[307]",3.22,3.16,1.02,1.32,5.42
"eta1[308]",1.41,1.4,0.7,0.06,2.88
"eta1[309]",2.57,2.55,0.38,1.88,3.4
"eta1[310]",2.3,2.27,0.5,1.35,3.37
"eta1[311]",3.53,3.47,0.75,2.19,5.15
"eta1[312]",2.03,2.04,0.18,1.67,2.38
"eta1[313]",0,0,0.02,-0.05,0.05
"eta1[314]",1.42,1.43,0.19,1,1.77
"eta1[315]",2.2,2.15,0.66,1.03,3.61
"eta1[316]",-1.13,-1.11,0.53,-2.23,-0.22
"eta1[317]",-0.7,-0.71,0.3,-1.27,-0.06
"eta1[318]",1.76,1.74,0.32,1.16,2.45
"eta1[319]",-1.06,-1.06,0.83,-2.73,0.49
"eta1[320]",-1.17,-1.16,0.16,-1.52,-0.89
"eta1[321]",0.1,0.1,0.08,-0.07,0.26
"eta1[322]",1.68,1.67,0.48,0.75,2.66
"eta1[323]",2.59,2.55,1.15,0.38,4.99
"eta1[324]",3.09,3.03,0.72,1.8,4.66
"eta1[325]",0.08,0.08,0.22,-0.35,0.48
"eta1[326]",1.87,1.85,0.4,1.11,2.74
"eta1[327]",0.41,0.43,0.62,-0.87,1.6
"eta1[328]",1.06,1.07,0.85,-0.65,2.73
"eta1[329]",-0.48,-0.49,0.27,-1,0.08
"eta1[330]",1.29,1.29,0.59,0.18,2.47
"eta1[331]",-0.51,-0.52,0.64,-1.68,0.8
"eta1[332]",-3.19,-3.1,1.09,-5.55,-1.23
"eta1[333]",2.73,2.65,1.31,0.27,5.57
"eta1[334]",-1.1,-1.09,0.54,-2.28,-0.08
"eta1[335]",-1.29,-1.25,0.57,-2.5,-0.21
"eta1[336]",-0.63,-0.61,0.51,-1.69,0.35
"eta1[337]",-2.73,-2.71,0.23,-3.23,-2.32
"eta1[338]",-2.46,-2.45,0.62,-3.76,-1.27
"eta1[339]",0.35,0.35,0.56,-0.7,1.47
"eta1[340]",-2.78,-2.73,0.92,-4.77,-1.05
"eta1[341]",1.22,1.2,0.61,0.08,2.55
"eta1[342]",1.15,1.13,0.88,-0.54,2.99
"eta1[343]",0.62,0.62,0.25,0.14,1.12
"eta1[344]",-1.27,-1.25,0.88,-3.12,0.41
"eta1[345]",-0.94,-0.93,0.8,-2.54,0.62
"eta1[346]",1.57,1.53,0.64,0.35,2.94
"eta1[347]",1.24,1.23,0.58,0.16,2.38
"eta1[348]",-3.65,-3.63,1.09,-5.79,-1.64
"eta1[349]",-1.09,-1.09,0.13,-1.35,-0.84
"eta1[350]",0.91,0.9,0.24,0.49,1.41
"eta1[351]",0.98,0.97,0.63,-0.26,2.27
"eta1[352]",-0.18,-0.17,0.34,-0.86,0.49
"eta1[353]",-1.71,-1.68,0.54,-2.87,-0.7
"eta1[354]",-0.87,-0.86,0.22,-1.34,-0.48
"eta1[355]",-1.62,-1.59,0.7,-3.13,-0.31
"eta1[356]",-1.44,-1.44,0.05,-1.55,-1.34
"eta1[357]",-3.48,-3.43,0.82,-5.23,-1.96
"eta1[358]",-0.77,-0.76,0.52,-1.81,0.25
"eta1[359]",-0.27,-0.26,0.68,-1.64,1.04
"eta1[360]",-0.38,-0.37,0.13,-0.65,-0.16
"eta1[361]",-0.68,-0.67,0.35,-1.42,0
