"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"epst.phi[2, 11]",-0.18,-0.04,4.36,-8.96,9.83
"epst.phi[3, 11]",1.34,0.75,2.42,-1.4,7.32
"epst.phi[4, 11]",-0.57,-0.9,1.52,-2.53,3.11
"epst.phi[5, 11]",0.61,0.3,2.34,-3.07,5.95
"epst.phi[6, 11]",0.91,0.49,3.08,-3.63,8.12
"epst.phi[7, 11]",5.57,4.54,4.64,-0.23,16.83
"epst.phi[8, 11]",-1.51,-0.62,5.03,-13.24,8.92
"epst.phi[9, 11]",2.11,1.08,3.5,-1.99,11.49
"epst.phi[1, 12]",-1.73,-2.48,3.58,-6.05,7.67
"epst.phi[2, 12]",1.29,0.26,4.09,-5.63,11.75
"epst.phi[3, 12]",0.15,-0.12,2.2,-2.98,5.71
"epst.phi[4, 12]",0.14,0.07,0.71,-1.05,1.66
"epst.phi[5, 12]",2.32,1.97,1.71,0.13,6.55
"epst.phi[6, 12]",0.33,-0.2,3.25,-3.88,8.55
"epst.phi[7, 12]",0.1,0,1.35,-2.19,3.19
"epst.phi[8, 12]",4.26,3.03,4.65,-0.3,16.93
"epst.phi[9, 12]",-1.44,-1.16,4.16,-10.27,7.62
"epst.phi[1, 13]",1.8,0.68,4.27,-3.29,13.13
"epst.phi[2, 13]",1.48,0.15,3.29,-1.43,11.7
"epst.phi[3, 13]",-0.81,-0.94,1.21,-2.62,2.11
"epst.phi[4, 13]",0.47,0.35,0.9,-0.96,2.57
"epst.phi[5, 13]",2.36,1.98,1.94,-0.38,7.27
"epst.phi[6, 13]",1.73,1.21,2.97,-2.21,8.4
"epst.phi[7, 13]",6.34,5.3,4.52,0.41,17.97
"epst.phi[8, 13]",1.99,0.43,3.9,-1.69,13.64
"epst.phi[9, 13]",0.62,-0.16,3.24,-3.08,10.04
"epst.phi[1, 14]",3.89,2.84,3.9,-0.57,13.61
"epst.phi[2, 14]",-2.37,-0.9,4.93,-13.8,6.98
"epst.phi[3, 14]",1.23,0.73,1.99,-1.2,6.59
"epst.phi[4, 14]",1.41,1.18,1.38,-0.54,4.75
"epst.phi[5, 14]",1.35,1.25,1,-0.41,3.44
"epst.phi[6, 14]",3.32,2.75,2.45,0.22,9.77
"epst.phi[7, 14]",2.87,1.63,5.27,-2.62,16.27
"epst.phi[8, 14]",3.21,1.84,4.01,-0.97,13.86
"epst.phi[9, 14]",1.76,0.81,3.43,-2.98,11.08
"epst.phi[1, 15]",4.34,3.24,4.1,-0.34,15.39
"epst.phi[2, 15]",1.8,0.43,3.58,-1.58,12.02
"epst.phi[3, 15]",-0.27,-0.77,2.18,-2.69,5.67
"epst.phi[4, 15]",1.63,1.38,1.52,-0.57,5.39
"epst.phi[5, 15]",1.86,1.54,1.98,-0.93,6.6
"epst.phi[6, 15]",2.62,2.02,2.76,-0.74,9.41
"epst.phi[7, 15]",5.77,4.7,4.51,0.21,17.32
"epst.phi[8, 15]",1.91,0.15,3.9,-1.22,13.24
"epst.phi[9, 15]",1.46,-0.06,3.78,-1.54,12.48
"epst.phi[1, 16]",3.36,2.16,4.01,-1.14,13.38
"epst.phi[2, 16]",-0.03,0.01,4.13,-9.76,9.21
"epst.phi[3, 16]",1.41,0.97,2.03,-1.22,6.91
"epst.phi[4, 16]",1.03,0.85,1.54,-1.4,4.67
"epst.phi[5, 16]",2.12,1.79,2.07,-0.73,7.12
"epst.phi[6, 16]",3.15,2.52,2.61,-0.15,9.75
"epst.phi[7, 16]",-3.02,-3.83,7.22,-17.36,12.54
"epst.phi[8, 16]",3.79,2.65,4.33,-0.67,15.35
"epst.phi[9, 16]",-2.64,-2.13,3.81,-11.31,3.89
"epst.phi[1, 17]",3.48,2.25,4.53,-1.9,15.73
"epst.phi[2, 17]",2.13,0.9,3.53,-1.6,11.44
"epst.phi[3, 17]",1.02,0.49,2.2,-1.71,6.71
"epst.phi[4, 17]",0.87,0.71,1.62,-1.97,4.66
"epst.phi[5, 17]",1.21,0.92,2.27,-2.36,6.38
"epst.phi[6, 17]",2.46,1.85,2.73,-0.94,9.37
"epst.phi[7, 17]",4.04,3.08,4.94,-3.24,15.57
"epst.phi[8, 17]",2.91,1.35,4.09,-0.94,13.37
"epst.phi[9, 17]",0.75,-0.61,3.61,-2.04,11.92
"epst.phi[1, 18]",NA,NA,NA,NA,NA
"epst.phi[2, 18]",NA,NA,NA,NA,NA
"epst.phi[3, 18]",NA,NA,NA,NA,NA
"epst.phi[4, 18]",NA,NA,NA,NA,NA
"epst.phi[5, 18]",NA,NA,NA,NA,NA
"epst.phi[6, 18]",NA,NA,NA,NA,NA
"epst.phi[7, 18]",NA,NA,NA,NA,NA
"epst.phi[8, 18]",NA,NA,NA,NA,NA
"epst.phi[9, 18]",NA,NA,NA,NA,NA
