"","x"
"1",0.421905257765405
"2",0.541623025267899
"3",0.510395577360987
"4",0.342922128874136
"5",0.314006646774992
"6",0.43765438995406
"7",0.440821308877004
"8",0.413723799959848
"9",0.413156960153521
"10",0.437344825780715
"11",0.337096744702213
"12",0.503588864927227
"13",0.61685660181524
"14",0.514938496311613
"15",0.562816393564041
"16",0.458872254274576
"17",0.455534536274331
"18",0.410894530636444
"19",0.58660551336849
"20",0.457718556591139
"21",0.28408150515193
"22",0.416865508749154
"23",0.458876094176954
"24",0.594520624384142
"25",0.315745921065577
"26",0.56361532872921
"27",0.461315667488044
"28",0.370954504614002
"29",0.482640419826717
"30",0.405570751135651
"31",0.469191681362489
"32",0.469191681362489
"33",0.499697548829925
"34",0.407051264843963
"35",0.34209950253034
"36",0.309822683398397
"37",0.512726945161196
"38",0.381184651432514
"39",0.359418617769227
"40",0.48281527896661
"41",0.313971002396338
"42",0.311848274509244
"43",0.311848274509244
"44",0.339743721003467
"45",0.537397624363478
"46",0.592826990195446
"47",0.56584086955061
"48",0.528200085060627
"49",0.626354968501148
"50",0.456680279295804
"51",0.234178482532687
"52",0.239869970057062
"53",0.336771526169801
"54",0.432624898197287
"55",0.361262359098011
"56",0.440979958709951
"57",0.379625548897838
"58",0.317529906124712
"59",0.319442403954772
"60",0.383959023627581
"61",0.303616578754023
"62",0.494440787411836
"63",0.611675871855127
"64",0.396518470544177
"65",0.326759747883769
"66",0.456083268980054
"67",0.538450202215036
"68",0.464214403284568
"69",0.318663159525676
"70",0.252013980577635
"71",0.336462357782975
"72",0.33747371858009
"73",0.290159925012547
"74",0.247060946207522
"75",0.268896104793153
"76",0.441956567744913
"77",0.276523365403763
"78",0.185267183549972
"79",0.307045556544855
"80",0.30986798875535
"81",0.345788641801509
"82",0.257997770348061
"83",0.387766970439626
"84",0.322540413880593
"85",0.24211580965497
"86",0.330038046438318
"87",0.422733450127207
"88",0.380251372188379
"89",0.367688489028377
"90",0.462978273499294
"91",0.406401405055561
"92",0.547396162123629
"93",0.353866590315172
"94",0.314695320491266
"95",0.246947730395083
"96",0.269176664785488
"97",0.281601057341585
"98",0.327992666919883
"99",0.336091772345582
"100",0.386370170039755
"101",0.271795946795315
"102",0.326325323279749
"103",0.424443568014928
"104",0.309393222921273
"105",0.245638287858815
"106",0.300674265098903
"107",0.443735581116842
"108",0.35097459812463
"109",0.280061804153949
"110",0.255469490757053
"111",0.309087259277624
"112",0.255284123643389
"113",0.40921003887685
"114",0.365321839374021
"115",0.314913491991574
"116",0.251338459029798
"117",0.220894883711904
"118",0.135882896354996
"119",0.147702699967817
"120",0.223469838638712
"121",0.27096230712217
"122",0.214199485876552
"123",0.209941969527271
"124",0.562981582053564
"125",0.402399662059685
"126",0.531618905328662
"127",0.46771287008739
"128",0.557258745898058
"129",0.393667824276385
"130",0.374288425873017
"131",0.33032954435374
"132",0.531254853650998
"133",0.418549990706242
"134",0.56772982647019
"135",0.572944492084608
"136",0.394443732223564
"137",0.545135093482246
"138",0.403448962095728
"139",0.583010525498383
"140",0.415824077261847
"141",0.498237034766073
"142",0.535830524614723
"143",0.665665402456906
"144",0.556843165643061
"145",0.596280496273621
"146",0.782668902777973
"147",0.687473022222701
"148",0.573049164550524
"149",0.451118919373767
"150",0.463134960253536
"151",0.512586388832928
"152",0.467631081976955
"153",0.413999687104825
"154",0.427218739309525
"155",0.508160282998619
"156",0.446396163804252
"157",0.403982211476933
"158",0.677585228843416
"159",0.736752777856356
"160",0.513907294100774
"161",0.483235275772459
"162",0.515099222351118
"163",0.344799712029834
"164",0.388790651133399
"165",0.420933423495838
"166",0.601640061532121
"167",0.601961163353129
"168",0.521906339818726
"169",0.566540581581707
"170",0.480189263011768
"171",0.374732056886996
"172",0.334973833667714
"173",0.423901406705498
"174",0.413405166524421
"175",0.311477008468624
"176",0.298714759674913
"177",0.399509941362941
"178",0.659028957858322
"179",0.545065083048555
"180",0.496295840201708
"181",0.397137526210905
"182",0.416931578512649
"183",0.475719761168221
"184",0.518909593388049
"185",0.764586188983473
"186",0.52900603993748
"187",0.515819493529324
"188",0.429035754541385
"189",0.484622107587496
"190",0.595599804921475
"191",0.612421612939261
"192",0.539731462647254
"193",0.552625938931244
"194",0.498481196409851
"195",0.348536425956203
"196",0.259995616276896
"197",0.408143047056644
"198",0.398153580568419
"199",0.549700886430097
"200",0.469406324365494
"201",0.342684403915156
"202",0.424242087804659
"203",0.485311994121158
"204",0.583162689988008
"205",0.748642221864405
"206",0.498885505036354
"207",0.57871337687911
"208",0.535298466119206
"209",0.46299111443842
"210",0.445707499943192
"211",0.462166116562067
"212",0.383187406555467
"213",0.441643794820229
"214",0.44833056122367
"215",0.513588790651056
"216",0.37047203068934
"217",0.286244654108267
"218",0.41899174793132
"219",0.689854613539007
"220",0.46321432343787
"221",0.622464072837674
"222",0.384236915592468
"223",0.469013046018158
"224",0.426436730568365
"225",0.49648222181269
"226",0.399867387976736
"227",0.510630585690906
"228",0.403343575028565
"229",0.460492071579992
"230",0.374967350013369
"231",0.393978790811911
"232",0.531968646762823
"233",0.401312421536368
"234",0.434833192936416
"235",0.444591590493558
"236",0.412051591751085
"237",0.480908525650464
"238",0.676723588125215
"239",0.552652103102252
"240",0.588066810339568
"241",0.474427145917051
"242",0.392621394666318
"243",0.425219581206831
"244",0.278906154960299
"245",0.521593787418948
"246",0.566012257375013
"247",0.490308261052862
"248",0.605240161463483
"249",0.378216870069473
"250",0.385485287598303
"251",0.333135203946073
"252",0.294508861701573
"253",0.418353426949235
"254",0.303170227337854
"255",0.321864411619541
"256",0.277446307296625
"257",0.581046698590291
"258",0.480901838104361
"259",0.449668967878262
"260",0.484956808630104
"261",0.60921779211035
"262",0.480958251971217
"263",0.374181856274374
"264",0.479569104607418
"265",0.587773887777888
"266",0.394299151684992
"267",0.516262939764707
"268",0.50643682342496
"269",0.556374266805609
"270",0.628032855329655
"271",0.546502495464977
"272",0.498212192139576
"273",0.630612961221039
"274",0.551340427802068
"275",0.57732364871333
"276",0.663344419447
"277",0.776847687385392
"278",0.67764771615102
"279",0.448976212223897
"280",0.471141892738399
"281",0.269400442299433
"282",0.354415048319299
"283",0.326773449742242
"284",0.393255195475437
"285",0.400819601748203
"286",0.50033733010101
"287",0.488113886551492
"288",0.430845995513055
"289",0.399641962309456
"290",0.413091191922137
"291",0.372310125034211
"292",0.36694176755815
"293",0.383355581258747
"294",0.359988968210904
"295",0.357607973573836
"296",0.523221511325848
"297",0.343296016524182
"298",0.263060557114936
"299",0.217203888195933
"300",0.311954015654424
"301",0.185413028986647
"302",0.250712445369972
"303",0.305897971766817
"304",0.444874705625382
"305",0.521249930746971
"306",0.420039181033242
"307",0.352800112279988
"308",0.254603412767121
"309",0.2665458597973
"310",0.277835577140489
"311",0.267479291513393
"312",0.213034966518061
"313",0.185107582097125
"314",0.239113325023239
"315",0.24922652677528
"316",0.267832599080807
"317",0.303078760237918
"318",0.318753655301759
"319",0.229780951801047
"320",0.28401722035081
"321",0.333787661407818
"322",0.367526751015676
"323",0.325486011591532
"324",0.282281392207903
"325",0.436985237428099
"326",0.287936858719949
"327",0.420675906256758
"328",0.348460327066641
"329",0.24291946424021
"330",0.35473860440164
"331",0.264673626311433
"332",0.54931178774292
"333",0.663619152046731
"334",0.744652597495741
"335",0.687058597805533
"336",0.613073528579283
"337",0.591470627339362
"338",0.423124832422527
"339",0.497292083556554
"340",0.309500457663045
"341",0.456994583678147
"342",0.285669582963387
"343",0.290479170493889
"344",0.352791693292071
"345",0.519154240391476
"346",0.258755662549023
"347",0.270671434951849
"348",0.36500608593891
"349",0.352397078239442
"350",0.439078629744268
"351",0.388086332303663
"352",0.376730440870618
"353",0.541728191249249
"354",0.544660831244065
"355",0.448222136155825
"356",0.479488837523169
"357",0.301162895129557
"358",0.343565306035926
"359",0.478160631105622
"360",0.355028829552756
"361",0.404611850045917
"362",0.428724037677035
"363",0.342955486839488
"364",0.334523612324788
"365",0.352596712152385
"366",0.527252532995609
"367",0.376159158136912
"368",0.327843483094528
"369",0.347734097943667
"370",0.411051915193023
"371",0.248379656944248
"372",0.165574723349467
"373",0.201959474861843
"374",0.257638880233678
"375",0.330017181191994
"376",0.413200598906123
"377",0.335624756185277
"378",0.407758247353198
"379",0.773133252172739
"380",0.468225056790593
"381",0.492812944299428
"382",0.404489765368984
"383",0.452793061019389
"384",0.418854714627878
"385",0.494938221853669
"386",0.49844109233169
"387",0.469693745400063
"388",0.447806605470035
"389",0.322272994570726
"390",0.390259396007383
"391",0.483612270961198
"392",0.620069940394018
"393",0.348959149499319
"394",0.33074987812375
"395",0.396036334931554
"396",0.43921423536976
"397",0.482903582881542
"398",0.494759820480922
"399",0.442961759616946
"400",0.432522450199536
"401",0.446747853971038
"402",0.505647446268752
"403",0.39037658906059
"404",0.399979969755634
"405",0.276378051181231
"406",0.182684047319001
"407",0.278815222473234
"408",0.390903383285812
"409",0.44885206414929
"410",0.363328799892472
"411",0.455352868809271
"412",0.451540411774366
"413",0.379553630324601
"414",0.447896677241064
"415",0.265853446349543
"416",0.421458535071161
"417",0.428384638068401
"418",0.287339564271661
"419",0.199806963356537
"420",0.211527555702647
"421",0.288750450160327
"422",0.242102157459752
"423",0.348588259335546
"424",0.417937981799859
"425",0.21875643337
"426",0.219524936350873
"427",0.350095102251672
"428",0.508814478534804
"429",0.5051425996051
"430",0.482926695776672
"431",0.396054401803467
"432",0.396054401803467
"433",0.386700635752357
"434",0.457051741817668
"435",0.281777302315533
"436",0.448363347309148
"437",0.360843416112954
"438",0.24883521045892
"439",0.329315847617971
"440",0.348245860798693
"441",0.275238553651704
"442",0.287928049027273
"443",0.321138484770636
"444",0.414710588629596
"445",0.422882314673138
"446",0.388512737646532
"447",0.410389309596442
"448",0.349010963456507
"449",0.530623007622121
"450",0.516668070330447
"451",0.476433667203049
"452",0.513922130415816
"453",0.716909782734764
"454",0.709121479325969
"455",0.449525101817676
"456",0.541498508556728
"457",0.635928951532817
"458",0.843377324236198
"459",0.744165909647321
"460",0.734635274888873
"461",0.487285194577355
"462",0.617100822731837
"463",0.51175250028642
"464",0.52325972404094
"465",0.435387178682683
"466",0.612977490137112
"467",0.396520490488228
"468",0.592561538269283
"469",0.60439070892274
"470",0.570197387070696
"471",0.612148537671436
"472",0.608677741324367
"473",0.495834738683505
"474",0.469011350210917
"475",0.356634697744132
"476",0.418514389429713
"477",0.663266236629306
"478",0.465565224565693
"479",0.353900507450615
"480",0.408553275261192
"481",0.44508885739695
"482",0.460870714828695
"483",0.553085484780279
"484",0.481018969506022
"485",0.343681873932664
"486",0.493787754745675
"487",0.522201625082439
"488",0.339367565007739
"489",0.363313312812284
"490",0.309413481346033
"491",0.249223490426755
"492",0.243523249814125
"493",0.24000779147594
"494",0.250765292971898
"495",0.300827990185286
"496",0.353102862208647
"497",0.465550301316135
"498",0.320196812549351
"499",0.284164916993235
"500",0.359013591878696
"501",0.492529158801208
"502",0.51167125057639
"503",0.488551601255017
"504",0.585715957448289
"505",0.449596096962149
"506",0.52527961407309
"507",0.368728110480329
"508",0.486149848667915
"509",0.412570698661812
"510",0.327805676600782
"511",0.439082830791334
"512",0.379198519121802
"513",0.334319987374209
"514",0.436706473259975
"515",0.359985889628928
"516",0.496612914905464
"517",0.398100590910873
"518",0.321976946265267
"519",0.236558632580446
"520",0.260855195695075
"521",0.302994783788465
"522",0.20551062122471
"523",0.242469637542489
"524",0.349624182150568
"525",0.340555556660041
"526",0.501803797928475
"527",0.490744066252394
"528",0.353608453137905
"529",0.218421347068487
"530",0.270298570516185
"531",0.236379932879994
"532",0.289560227309707
"533",0.310941386921652
"534",0.313057785840124
"535",0.296230201121952
"536",0.32145533773198
"537",0.396552871669683
"538",0.335341195071445
"539",0.52657519778664
"540",0.673540882995803
"541",0.736798162037819
"542",0.565499557027349
"543",0.457120805778518
"544",0.466190795875922
"545",0.654219506806148
"546",0.396569141194842
"547",0.535212883805533
"548",0.548523437850625
"549",0.422763470848878
"550",0.476622161311914
"551",0.476622161311914
"552",0.390166143155037
"553",0.428165901995587
"554",0.487540372854035
"555",0.423989280206536
"556",0.536375685360566
"557",0.329968738927868
"558",0.41041028202455
"559",0.53027028399407
"560",0.532795961167788
"561",0.441431791211967
"562",0.517886189899025
"563",0.444123139854284
"564",0.447386648940046
"565",0.384663558491935
"566",0.357171800215723
"567",0.374395653705873
"568",0.274988320058299
"569",0.332561984487876
"570",0.520190044357977
"571",0.380650339111463
"572",0.274960573726826
"573",0.406160983243622
"574",0.469921580845811
"575",0.512499340186189
"576",0.384138615701187
"577",0.361993944933468
"578",0.259362249355049
"579",0.512354975103129
"580",0.410208687842868
"581",0.459349571725265
"582",0.381753117478137
"583",0.327185704829966
"584",0.354646268257346
"585",0.272205096027368
"586",0.272205096027368
"587",0.413055585309849
"588",0.301416017139549
"589",0.296514601290757
"590",0.436165116596163
"591",0.367124848172448
"592",0.546003440159288
"593",0.328381504503166
"594",0.397583234833247
"595",0.586652872066294
"596",0.292539078032621
"597",0.310010142201227
"598",0.438843447573561
"599",0.522390326434285
"600",0.602925055859628
"601",0.538535765922636
"602",0.465815718632766
"603",0.484479874048686
"604",0.415428082168579
"605",0.254968601119396
"606",0.244801121796419
"607",0.309127648960663
"608",0.40384135001574
"609",0.348754729758428
"610",0.368016804225274
"611",0.287329800173899
"612",0.22865933407319
"613",0.310236811025373
"614",0.340460100401841
"615",0.358643028977844
"616",0.388344955796439
"617",0.51115430162275
"618",0.330690813026786
"619",0.419251461843847
"620",0.462842734815748
"621",0.393024776531423
"622",0.412828896365838
"623",0.357674356418286
"624",0.375507499136182
"625",0.556691901415564
"626",0.475741545803226
"627",0.49116029470946
"628",0.557723638162858
"629",0.534709198437707
"630",0.720429804650553
"631",0.557735579174368
"632",0.326849249870903
"633",0.369936028942255
"634",0.319887690137911
"635",0.654940473524821
"636",0.777421610920097
"637",0.764278049984135
"638",0.585580512396821
"639",0.662453255918401
"640",0.569450053217609
"641",0.498454564473922
"642",0.394650699113065
"643",0.591983061572153
"644",0.565094769586913
"645",0.612143176371088
"646",0.607374733094054
"647",0.561366481271327
"648",0.583809416780224
"649",0.441944034243742
"650",0.367945188897113
"651",0.332723384083547
"652",0.385179962407855
"653",0.564465645742085
"654",0.562664254157643
"655",0.632261969150056
"656",0.53744593360882
"657",0.536330674128638
"658",0.673622340992239
"659",0.632750222757273
"660",0.627772095674083
"661",0.551901631656102
"662",0.557726003401996
"663",0.42398836245931
"664",0.459010416295216
"665",0.449529729577496
"666",0.432703849149142
"667",0.589740741416459
"668",0.588798437702557
"669",0.383460157984234
"670",0.405494062032139
"671",0.4076545396914
"672",0.561916229667889
"673",0.436854171228575
"674",0.448587430476843
"675",0.404873977269065
"676",0.498254018892302
"677",0.472944448119734
"678",0.495653003715586
"679",0.345548067437164
"680",0.589518499291574
"681",0.562581853084068
"682",0.557082564907936
"683",0.286406915492282
"684",0.364550199984933
"685",0.411754426304227
"686",0.451315966879381
"687",0.453932304958599
"688",0.523256101270897
"689",0.461027213800635
"690",0.416819790691975
"691",0.409628647574287
"692",0.458484835828287
"693",0.532868032159512
"694",0.609296999196635
"695",0.526017906201537
"696",0.406050635196582
"697",0.474453118143538
"698",0.474453118143538
"699",0.5201760575296
"700",0.496264860897903
"701",0.528164657816541
"702",0.6147190628743
"703",0.432062756842968
"704",0.372805323797138
"705",0.337286175663212
"706",0.326444248050593
"707",0.554635802702214
"708",0.600217713203371
"709",0.460963008466714
"710",0.712863272205795
"711",0.695393987564026
"712",0.640445887695516
"713",0.660940940059514
"714",0.563310108161981
"715",0.471172740894594
"716",0.571590123781317
"717",0.519103986675391
"718",0.591288155787285
"719",0.434429140486938
"720",0.358978573311627
"721",0.422280162242456
"722",0.413026920155035
"723",0.456656255149543
"724",0.503407794505403
"725",0.652857239618235
"726",0.485662867725964
"727",0.290331982691093
"728",0.291043439594936
"729",0.318885939643971
"730",0.334937883853966
"731",0.456835927420276
"732",0.411233756318411
"733",0.451361391127394
"734",0.353562715935954
"735",0.373881541131083
"736",0.248050115585991
"737",0.405599068484266
"738",0.329625898177766
"739",0.45274139895959
"740",0.386231275023398
"741",0.380591953983544
"742",0.217529248743676
"743",0.274249680555802
"744",0.295894926439205
"745",0.483427507962219
"746",0.501543928384762
"747",0.335533280787589
"748",0.282204344328719
"749",0.351153358145906
"750",0.313765062876674
"751",0.529420339921829
"752",0.508070190568866
"753",0.462907501793113
"754",0.380427870536608
"755",0.308201695783332
"756",0.241878451252779
"757",0.435637783203754
"758",0.41646892224977
"759",0.459511964174256
"760",0.441613173317185
"761",0.452650003976313
"762",0.414865258795674
"763",0.479981286753736
"764",0.442727739333989
"765",0.52411622578693
"766",0.405306396219347
"767",0.5319703989353
"768",0.450164826415395
"769",0.277308861559404
"770",0.305807745093128
"771",0.313674304434506
"772",0.328869296767787
"773",0.363202440639175
"774",0.446326539234147
"775",0.536732565031086
"776",0.559039349434358
"777",0.539230323961255
"778",0.482912766169485
"779",0.388897904546625
"780",0.406640360716864
"781",0.284416729180644
"782",0.311801747453523
"783",0.41553375919657
"784",0.36291757330927
"785",0.350881384294358
"786",0.38089071392914
"787",0.32649873574509
"788",0.329785655895968
"789",0.364654829296606
"790",0.377730767954219
"791",0.404089729814193
"792",0.314851922443426
"793",0.302597046345122
"794",0.294983050994823
"795",0.294983050994823
"796",0.277266913573614
"797",0.463058843923891
"798",0.255652455028297
"799",0.440363919198697
"800",0.473380177364241
"801",0.231497368157535
"802",0.257018947678398
"803",0.315739784395975
"804",0.342101112312084
"805",0.319025683214306
"806",0.276508160739365
